UUID	AUTHOR	X	Y	TERMS	COLOR	SCORE
e419f692-e726-32c0-bf18-7ab595290bc1	Noveck IA	1	1	auditory|speech	#FDAD4A	0.470984996114009
e419f692-e726-32c0-bf18-7ab595290bc1	Noveck IA	2	1		#FDAD4A	0.433087861246715
e419f692-e726-32c0-bf18-7ab595290bc1	Noveck IA	3	1	da|integration	#FD913D	0.528975071004039
e419f692-e726-32c0-bf18-7ab595290bc1	Noveck IA	4	1		#FD913D	0.581320392068749
e419f692-e726-32c0-bf18-7ab595290bc1	Noveck IA	5	1	physical|psychophysical|tactile	#FD913D	0.512355101622672
e419f692-e726-32c0-bf18-7ab595290bc1	Noveck IA	6	1		#FDAD4A	0.471414327980909
e419f692-e726-32c0-bf18-7ab595290bc1	Noveck IA	7	1	somatosensory|stimulation	#FDAD4A	0.413826410594888
e419f692-e726-32c0-bf18-7ab595290bc1	Noveck IA	8	1	painful|pain	#FEE188	0.22386425192677
e419f692-e726-32c0-bf18-7ab595290bc1	Noveck IA	9	1		#FEE188	0.263403239429663
e419f692-e726-32c0-bf18-7ab595290bc1	Noveck IA	10	1	ratings	#FEE188	0.273298441084765
e419f692-e726-32c0-bf18-7ab595290bc1	Noveck IA	11	1	affective|affect	#FECB68	0.330514827443314
e419f692-e726-32c0-bf18-7ab595290bc1	Noveck IA	12	1	emotions	#FEE188	0.233335430381134
e419f692-e726-32c0-bf18-7ab595290bc1	Noveck IA	13	1	expression|expressions|facial	#FFF1A9	0.131108177109048
e419f692-e726-32c0-bf18-7ab595290bc1	Noveck IA	14	1		#FEE188	0.258188467656269
e419f692-e726-32c0-bf18-7ab595290bc1	Noveck IA	15	1		#FEE188	0.295573888568221
e419f692-e726-32c0-bf18-7ab595290bc1	Noveck IA	16	1	emotion|motion|neutral	#FEE188	0.295582352913291
e419f692-e726-32c0-bf18-7ab595290bc1	Noveck IA	17	1	rating	#FECB68	0.326243696618738
e419f692-e726-32c0-bf18-7ab595290bc1	Noveck IA	18	1	negative|positive	#FDAD4A	0.43576836002266
e419f692-e726-32c0-bf18-7ab595290bc1	Noveck IA	19	1		#FC622F	0.620322012640095
e419f692-e726-32c0-bf18-7ab595290bc1	Noveck IA	20	1	ear|order	#FC622F	0.685954978827586
e419f692-e726-32c0-bf18-7ab595290bc1	Noveck IA	21	1	motor	#FC622F	0.681005302517714
e419f692-e726-32c0-bf18-7ab595290bc1	Noveck IA	22	1	visual	#FD913D	0.57317682143835
e419f692-e726-32c0-bf18-7ab595290bc1	Noveck IA	23	1	age|image|response	#FC622F	0.634070334224279
e419f692-e726-32c0-bf18-7ab595290bc1	Noveck IA	1	2	sound|sounds	#FECB68	0.336746004654313
e419f692-e726-32c0-bf18-7ab595290bc1	Noveck IA	2	2		#FECB68	0.396261762092578
e419f692-e726-32c0-bf18-7ab595290bc1	Noveck IA	3	2	audiovisual|bimodal|crossmodal	#FEE188	0.262268028647167
e419f692-e726-32c0-bf18-7ab595290bc1	Noveck IA	4	2		#FD913D	0.594390992553643
e419f692-e726-32c0-bf18-7ab595290bc1	Noveck IA	5	2		#FD913D	0.595508796256878
e419f692-e726-32c0-bf18-7ab595290bc1	Noveck IA	6	2		#FD913D	0.508896784072483
e419f692-e726-32c0-bf18-7ab595290bc1	Noveck IA	7	2	sensation	#FEE188	0.234804704703408
e419f692-e726-32c0-bf18-7ab595290bc1	Noveck IA	8	2	heat|noxious	#FFF1A9	0.185181689111955
e419f692-e726-32c0-bf18-7ab595290bc1	Noveck IA	9	2		#FEE188	0.258486921716755
e419f692-e726-32c0-bf18-7ab595290bc1	Noveck IA	10	2		#FEE188	0.284268252117111
e419f692-e726-32c0-bf18-7ab595290bc1	Noveck IA	11	2		#FEE188	0.294679871449579
e419f692-e726-32c0-bf18-7ab595290bc1	Noveck IA	12	2	valence	#FEE188	0.232986020073103
e419f692-e726-32c0-bf18-7ab595290bc1	Noveck IA	13	2	person|social	#FECB68	0.352816866521914
e419f692-e726-32c0-bf18-7ab595290bc1	Noveck IA	14	2		#FEE188	0.283157226660102
e419f692-e726-32c0-bf18-7ab595290bc1	Noveck IA	15	2	face|faces	#FEE188	0.230530358759055
e419f692-e726-32c0-bf18-7ab595290bc1	Noveck IA	16	2		#FECB68	0.372287681173355
e419f692-e726-32c0-bf18-7ab595290bc1	Noveck IA	17	2		#FDAD4A	0.443031721186146
e419f692-e726-32c0-bf18-7ab595290bc1	Noveck IA	18	2		#FD913D	0.57198231883007
e419f692-e726-32c0-bf18-7ab595290bc1	Noveck IA	19	2		#FC622F	0.667959468222847
e419f692-e726-32c0-bf18-7ab595290bc1	Noveck IA	20	2		#F03623	0.714411739082629
e419f692-e726-32c0-bf18-7ab595290bc1	Noveck IA	21	2	images|spatial	#FC622F	0.640940157606527
e419f692-e726-32c0-bf18-7ab595290bc1	Noveck IA	22	2	control	#F03623	0.709219761042074
e419f692-e726-32c0-bf18-7ab595290bc1	Noveck IA	23	2	time	#FC622F	0.663309734790159
e419f692-e726-32c0-bf18-7ab595290bc1	Noveck IA	1	3	acoustic|listening|musical|music|pitch	#FEE188	0.222649247867021
e419f692-e726-32c0-bf18-7ab595290bc1	Noveck IA	2	3	noise|tones	#FEE188	0.261312936127165
e419f692-e726-32c0-bf18-7ab595290bc1	Noveck IA	3	3		#FD913D	0.526955954910355
e419f692-e726-32c0-bf18-7ab595290bc1	Noveck IA	4	3		#FC622F	0.640765853188255
e419f692-e726-32c0-bf18-7ab595290bc1	Noveck IA	5	3	frequency	#FC622F	0.630656775897669
e419f692-e726-32c0-bf18-7ab595290bc1	Noveck IA	6	3		#FC622F	0.623494113609219
e419f692-e726-32c0-bf18-7ab595290bc1	Noveck IA	7	3		#FECB68	0.29964803681634
e419f692-e726-32c0-bf18-7ab595290bc1	Noveck IA	8	3	temperature	#FFF1A9	0.18985240137109
e419f692-e726-32c0-bf18-7ab595290bc1	Noveck IA	9	3		#FEE188	0.254772384106802
e419f692-e726-32c0-bf18-7ab595290bc1	Noveck IA	10	3	pleasant|unpleasant	#FFF1A9	0.169267445586515
e419f692-e726-32c0-bf18-7ab595290bc1	Noveck IA	11	3	anxiety	#FEE188	0.206811214828155
e419f692-e726-32c0-bf18-7ab595290bc1	Noveck IA	12	3		#FECB68	0.374013307079338
e419f692-e726-32c0-bf18-7ab595290bc1	Noveck IA	13	3		#FDAD4A	0.447189242102291
e419f692-e726-32c0-bf18-7ab595290bc1	Noveck IA	14	3		#FDAD4A	0.400003989978343
e419f692-e726-32c0-bf18-7ab595290bc1	Noveck IA	15	3		#FDAD4A	0.421261531681848
e419f692-e726-32c0-bf18-7ab595290bc1	Noveck IA	16	3	picture	#FDAD4A	0.474233278142558
e419f692-e726-32c0-bf18-7ab595290bc1	Noveck IA	17	3		#FD913D	0.523819709888025
e419f692-e726-32c0-bf18-7ab595290bc1	Noveck IA	18	3	value	#FC622F	0.691213574860429
e419f692-e726-32c0-bf18-7ab595290bc1	Noveck IA	19	3	cue	#F03623	0.785747869111582
e419f692-e726-32c0-bf18-7ab595290bc1	Noveck IA	20	3	error|target	#F03623	0.779648782742663
e419f692-e726-32c0-bf18-7ab595290bc1	Noveck IA	21	3	attention	#F03623	0.72571348813676
e419f692-e726-32c0-bf18-7ab595290bc1	Noveck IA	22	3		#F03623	0.748499524161913
e419f692-e726-32c0-bf18-7ab595290bc1	Noveck IA	23	3	number	#F03623	0.723107625535327
e419f692-e726-32c0-bf18-7ab595290bc1	Noveck IA	1	4	voice	#FEE188	0.209498763703715
e419f692-e726-32c0-bf18-7ab595290bc1	Noveck IA	2	4		#FECB68	0.367854701895502
e419f692-e726-32c0-bf18-7ab595290bc1	Noveck IA	3	4	hearing	#FECB68	0.300139586207934
e419f692-e726-32c0-bf18-7ab595290bc1	Noveck IA	4	4		#FC622F	0.639813844181287
e419f692-e726-32c0-bf18-7ab595290bc1	Noveck IA	5	4	overt	#FC622F	0.668041582967581
e419f692-e726-32c0-bf18-7ab595290bc1	Noveck IA	6	4		#FC622F	0.621495670711721
e419f692-e726-32c0-bf18-7ab595290bc1	Noveck IA	7	4		#FECB68	0.362972655506222
e419f692-e726-32c0-bf18-7ab595290bc1	Noveck IA	8	4	nociceptive|nonpainful|painrelated	#FFF1A9	0.115624401107763
