UUID	AUTHOR	X	Y	TERMS	COLOR	SCORE
e5f342ab-335a-3317-a3c2-1a233d1121b3	Kim L	1	1	auditory|speech	#FFFFCC	0.0541595277803205
e5f342ab-335a-3317-a3c2-1a233d1121b3	Kim L	2	1		#FFFFCC	0.0805396740485033
e5f342ab-335a-3317-a3c2-1a233d1121b3	Kim L	3	1	da|integration	#FEE188	0.240966091853105
e5f342ab-335a-3317-a3c2-1a233d1121b3	Kim L	4	1		#FEE188	0.246091065878395
e5f342ab-335a-3317-a3c2-1a233d1121b3	Kim L	5	1	physical|psychophysical|tactile	#FEE188	0.288229247505968
e5f342ab-335a-3317-a3c2-1a233d1121b3	Kim L	6	1		#FECB68	0.310992727399966
e5f342ab-335a-3317-a3c2-1a233d1121b3	Kim L	7	1	somatosensory|stimulation	#FEE188	0.254609029118405
e5f342ab-335a-3317-a3c2-1a233d1121b3	Kim L	8	1	painful|pain	#FECB68	0.305177745701378
e5f342ab-335a-3317-a3c2-1a233d1121b3	Kim L	9	1		#FECB68	0.334584834814287
e5f342ab-335a-3317-a3c2-1a233d1121b3	Kim L	10	1	ratings	#FECB68	0.3477255897831
e5f342ab-335a-3317-a3c2-1a233d1121b3	Kim L	11	1	affective|affect	#FEE188	0.223278269329619
e5f342ab-335a-3317-a3c2-1a233d1121b3	Kim L	12	1	emotions	#FEE188	0.239508761194502
e5f342ab-335a-3317-a3c2-1a233d1121b3	Kim L	13	1	expression|expressions|facial	#FFF1A9	0.190614586159659
e5f342ab-335a-3317-a3c2-1a233d1121b3	Kim L	14	1		#FEE188	0.231781212779856
e5f342ab-335a-3317-a3c2-1a233d1121b3	Kim L	15	1		#FEE188	0.237763461071728
e5f342ab-335a-3317-a3c2-1a233d1121b3	Kim L	16	1	emotion|motion|neutral	#FFF1A9	0.196821239387906
e5f342ab-335a-3317-a3c2-1a233d1121b3	Kim L	17	1	rating	#FEE188	0.2714210953055
e5f342ab-335a-3317-a3c2-1a233d1121b3	Kim L	18	1	negative|positive	#FECB68	0.316354567893275
e5f342ab-335a-3317-a3c2-1a233d1121b3	Kim L	19	1		#FECB68	0.31341039083369
e5f342ab-335a-3317-a3c2-1a233d1121b3	Kim L	20	1	ear|order	#FEE188	0.252576704148028
e5f342ab-335a-3317-a3c2-1a233d1121b3	Kim L	21	1	motor	#FFF1A9	0.111298667890679
e5f342ab-335a-3317-a3c2-1a233d1121b3	Kim L	22	1	visual	#FFFFCC	0.069373801559515
e5f342ab-335a-3317-a3c2-1a233d1121b3	Kim L	23	1	age|image|response	#FFF1A9	0.131285381248769
e5f342ab-335a-3317-a3c2-1a233d1121b3	Kim L	1	2	sound|sounds	#FFFFCC	0.0615059029337189
e5f342ab-335a-3317-a3c2-1a233d1121b3	Kim L	2	2		#FFFFCC	0.0719836414020691
e5f342ab-335a-3317-a3c2-1a233d1121b3	Kim L	3	2	audiovisual|bimodal|crossmodal	#FFFFCC	0.0367013081032269
e5f342ab-335a-3317-a3c2-1a233d1121b3	Kim L	4	2		#FEE188	0.238111662678747
e5f342ab-335a-3317-a3c2-1a233d1121b3	Kim L	5	2		#FEE188	0.265319239625976
e5f342ab-335a-3317-a3c2-1a233d1121b3	Kim L	6	2		#FECB68	0.308853113376581
e5f342ab-335a-3317-a3c2-1a233d1121b3	Kim L	7	2	sensation	#FECB68	0.307760049410848
e5f342ab-335a-3317-a3c2-1a233d1121b3	Kim L	8	2	heat|noxious	#FEE188	0.265200040392987
e5f342ab-335a-3317-a3c2-1a233d1121b3	Kim L	9	2		#FECB68	0.337501301591053
e5f342ab-335a-3317-a3c2-1a233d1121b3	Kim L	10	2		#FECB68	0.328636147341896
e5f342ab-335a-3317-a3c2-1a233d1121b3	Kim L	11	2		#FECB68	0.322356112598237
e5f342ab-335a-3317-a3c2-1a233d1121b3	Kim L	12	2	valence	#FEE188	0.217156392111947
e5f342ab-335a-3317-a3c2-1a233d1121b3	Kim L	13	2	person|social	#FEE188	0.293990912545976
