UUID	AUTHOR	X	Y	TERMS	COLOR	SCORE
e88b1a46-c4df-39c2-aa5e-7cd20ccf29c7	Grossman ED	1	1	auditory|speech	#FECB68	0.363631412201308
e88b1a46-c4df-39c2-aa5e-7cd20ccf29c7	Grossman ED	2	1		#FECB68	0.355265623055789
e88b1a46-c4df-39c2-aa5e-7cd20ccf29c7	Grossman ED	3	1	da|integration	#FC622F	0.661028379602073
e88b1a46-c4df-39c2-aa5e-7cd20ccf29c7	Grossman ED	4	1		#FDAD4A	0.491778104063464
e88b1a46-c4df-39c2-aa5e-7cd20ccf29c7	Grossman ED	5	1	physical|psychophysical|tactile	#FEE188	0.260203898592503
e88b1a46-c4df-39c2-aa5e-7cd20ccf29c7	Grossman ED	6	1		#FEE188	0.265320058999147
e88b1a46-c4df-39c2-aa5e-7cd20ccf29c7	Grossman ED	7	1	somatosensory|stimulation	#FFF1A9	0.168498914460616
e88b1a46-c4df-39c2-aa5e-7cd20ccf29c7	Grossman ED	8	1	painful|pain	#FFF1A9	0.151527741668128
e88b1a46-c4df-39c2-aa5e-7cd20ccf29c7	Grossman ED	9	1		#FEE188	0.221232145530082
e88b1a46-c4df-39c2-aa5e-7cd20ccf29c7	Grossman ED	10	1	ratings	#FECB68	0.36661551356372
e88b1a46-c4df-39c2-aa5e-7cd20ccf29c7	Grossman ED	11	1	affective|affect	#FDAD4A	0.417194941379589
e88b1a46-c4df-39c2-aa5e-7cd20ccf29c7	Grossman ED	12	1	emotions	#FD913D	0.518005154637233
e88b1a46-c4df-39c2-aa5e-7cd20ccf29c7	Grossman ED	13	1	expression|expressions|facial	#FC622F	0.639015663622982
e88b1a46-c4df-39c2-aa5e-7cd20ccf29c7	Grossman ED	14	1		#F03623	0.732048016253653
e88b1a46-c4df-39c2-aa5e-7cd20ccf29c7	Grossman ED	15	1		#F03623	0.706793739032006
e88b1a46-c4df-39c2-aa5e-7cd20ccf29c7	Grossman ED	16	1	emotion|motion|neutral	#FD913D	0.573848648946248
e88b1a46-c4df-39c2-aa5e-7cd20ccf29c7	Grossman ED	17	1	rating	#FDAD4A	0.456773681505057
e88b1a46-c4df-39c2-aa5e-7cd20ccf29c7	Grossman ED	18	1	negative|positive	#FDAD4A	0.447398724969382
e88b1a46-c4df-39c2-aa5e-7cd20ccf29c7	Grossman ED	19	1		#FD913D	0.562530816855119
e88b1a46-c4df-39c2-aa5e-7cd20ccf29c7	Grossman ED	20	1	ear|order	#FD913D	0.569432208457623
e88b1a46-c4df-39c2-aa5e-7cd20ccf29c7	Grossman ED	21	1	motor	#FECB68	0.381505392956207
e88b1a46-c4df-39c2-aa5e-7cd20ccf29c7	Grossman ED	22	1	visual	#F03623	0.716442192959413
e88b1a46-c4df-39c2-aa5e-7cd20ccf29c7	Grossman ED	23	1	age|image|response	#FD913D	0.588513385450063
e88b1a46-c4df-39c2-aa5e-7cd20ccf29c7	Grossman ED	1	2	sound|sounds	#FEE188	0.212945667539982
e88b1a46-c4df-39c2-aa5e-7cd20ccf29c7	Grossman ED	2	2		#FECB68	0.328117692722188
e88b1a46-c4df-39c2-aa5e-7cd20ccf29c7	Grossman ED	3	2	audiovisual|bimodal|crossmodal	#FD913D	0.547703792738707
e88b1a46-c4df-39c2-aa5e-7cd20ccf29c7	Grossman ED	4	2		#FD913D	0.508874411888632
e88b1a46-c4df-39c2-aa5e-7cd20ccf29c7	Grossman ED	5	2		#FDAD4A	0.421833902435887
e88b1a46-c4df-39c2-aa5e-7cd20ccf29c7	Grossman ED	6	2		#FEE188	0.298557254986729
e88b1a46-c4df-39c2-aa5e-7cd20ccf29c7	Grossman ED	7	2	sensation	#FFF1A9	0.111918646147578
e88b1a46-c4df-39c2-aa5e-7cd20ccf29c7	Grossman ED	8	2	heat|noxious	#FFF1A9	0.161812204643356
e88b1a46-c4df-39c2-aa5e-7cd20ccf29c7	Grossman ED	9	2		#FEE188	0.248501649751034
e88b1a46-c4df-39c2-aa5e-7cd20ccf29c7	Grossman ED	10	2		#FDAD4A	0.413458287131611
e88b1a46-c4df-39c2-aa5e-7cd20ccf29c7	Grossman ED	11	2		#FDAD4A	0.464427734019454
e88b1a46-c4df-39c2-aa5e-7cd20ccf29c7	Grossman ED	12	2	valence	#FDAD4A	0.48126415439673
e88b1a46-c4df-39c2-aa5e-7cd20ccf29c7	Grossman ED	13	2	person|social	#FD913D	0.555462642126909
e88b1a46-c4df-39c2-aa5e-7cd20ccf29c7	Grossman ED	14	2		#F03623	0.743137690598526
e88b1a46-c4df-39c2-aa5e-7cd20ccf29c7	Grossman ED	15	2	face|faces	#D7141E	0.890818239939823
e88b1a46-c4df-39c2-aa5e-7cd20ccf29c7	Grossman ED	16	2		#FC622F	0.695046431183627
e88b1a46-c4df-39c2-aa5e-7cd20ccf29c7	Grossman ED	17	2		#FC622F	0.613084335227335
e88b1a46-c4df-39c2-aa5e-7cd20ccf29c7	Grossman ED	18	2		#FD913D	0.595332363308465
e88b1a46-c4df-39c2-aa5e-7cd20ccf29c7	Grossman ED	19	2		#FD913D	0.589454168788569
e88b1a46-c4df-39c2-aa5e-7cd20ccf29c7	Grossman ED	20	2		#FD913D	0.587328823259024
e88b1a46-c4df-39c2-aa5e-7cd20ccf29c7	Grossman ED	21	2	images|spatial	#FC622F	0.638585887515428
e88b1a46-c4df-39c2-aa5e-7cd20ccf29c7	Grossman ED	22	2	control	#FD913D	0.578672251983628
e88b1a46-c4df-39c2-aa5e-7cd20ccf29c7	Grossman ED	23	2	time	#FD913D	0.591629252972801
e88b1a46-c4df-39c2-aa5e-7cd20ccf29c7	Grossman ED	1	3	acoustic|listening|musical|music|pitch	#FFF1A9	0.148051805338408
e88b1a46-c4df-39c2-aa5e-7cd20ccf29c7	Grossman ED	2	3	noise|tones	#FEE188	0.287473893373708
e88b1a46-c4df-39c2-aa5e-7cd20ccf29c7	Grossman ED	3	3		#FDAD4A	0.45655003730754
e88b1a46-c4df-39c2-aa5e-7cd20ccf29c7	Grossman ED	4	3		#FD913D	0.514305858999103
e88b1a46-c4df-39c2-aa5e-7cd20ccf29c7	Grossman ED	5	3	frequency	#FDAD4A	0.458273933297702
e88b1a46-c4df-39c2-aa5e-7cd20ccf29c7	Grossman ED	6	3		#FECB68	0.39808359274564
e88b1a46-c4df-39c2-aa5e-7cd20ccf29c7	Grossman ED	7	3		#FFF1A9	0.187321659296704
e88b1a46-c4df-39c2-aa5e-7cd20ccf29c7	Grossman ED	8	3	temperature	#FFF1A9	0.151774509313584
e88b1a46-c4df-39c2-aa5e-7cd20ccf29c7	Grossman ED	9	3		#FEE188	0.264130066589467
e88b1a46-c4df-39c2-aa5e-7cd20ccf29c7	Grossman ED	10	3	pleasant|unpleasant	#FDAD4A	0.43708704329175
e88b1a46-c4df-39c2-aa5e-7cd20ccf29c7	Grossman ED	11	3	anxiety	#FECB68	0.307784536685938
e88b1a46-c4df-39c2-aa5e-7cd20ccf29c7	Grossman ED	12	3		#FD913D	0.546079849391206
e88b1a46-c4df-39c2-aa5e-7cd20ccf29c7	Grossman ED	13	3		#FC622F	0.670024667286213
e88b1a46-c4df-39c2-aa5e-7cd20ccf29c7	Grossman ED	14	3		#F03623	0.719982497280084
e88b1a46-c4df-39c2-aa5e-7cd20ccf29c7	Grossman ED	15	3		#F03623	0.762485531236373
e88b1a46-c4df-39c2-aa5e-7cd20ccf29c7	Grossman ED	16	3	picture	#F03623	0.784305202501765
e88b1a46-c4df-39c2-aa5e-7cd20ccf29c7	Grossman ED	17	3		#F03623	0.713461312244817
e88b1a46-c4df-39c2-aa5e-7cd20ccf29c7	Grossman ED	18	3	value	#FD913D	0.554915738398149
e88b1a46-c4df-39c2-aa5e-7cd20ccf29c7	Grossman ED	19	3	cue	#FD913D	0.568204953770995
e88b1a46-c4df-39c2-aa5e-7cd20ccf29c7	Grossman ED	20	3	error|target	#FD913D	0.596245199447509
e88b1a46-c4df-39c2-aa5e-7cd20ccf29c7	Grossman ED	21	3	attention	#FC622F	0.635985701055829
e88b1a46-c4df-39c2-aa5e-7cd20ccf29c7	Grossman ED	22	3		#FC622F	0.647575758077252
e88b1a46-c4df-39c2-aa5e-7cd20ccf29c7	Grossman ED	23	3	number	#FC622F	0.633311883937568
e88b1a46-c4df-39c2-aa5e-7cd20ccf29c7	Grossman ED	1	4	voice	#FEE188	0.296268360630239
e88b1a46-c4df-39c2-aa5e-7cd20ccf29c7	Grossman ED	2	4		#FECB68	0.338869171525956
e88b1a46-c4df-39c2-aa5e-7cd20ccf29c7	Grossman ED	3	4	hearing	#FDAD4A	0.454361537505191
e88b1a46-c4df-39c2-aa5e-7cd20ccf29c7	Grossman ED	4	4		#FDAD4A	0.407891460820336
e88b1a46-c4df-39c2-aa5e-7cd20ccf29c7	Grossman ED	5	4	overt	#FECB68	0.398617722380915
e88b1a46-c4df-39c2-aa5e-7cd20ccf29c7	Grossman ED	6	4		#FECB68	0.35499510590978
e88b1a46-c4df-39c2-aa5e-7cd20ccf29c7	Grossman ED	7	4		#FEE188	0.224904671402815
e88b1a46-c4df-39c2-aa5e-7cd20ccf29c7	Grossman ED	8	4	nociceptive|nonpainful|painrelated	#FFFFCC	0.0960962027753123
e88b1a46-c4df-39c2-aa5e-7cd20ccf29c7	Grossman ED	9	4	unpleasantness	#FEE188	0.251881882954872
e88b1a46-c4df-39c2-aa5e-7cd20ccf29c7	Grossman ED	10	4	skin|subjective	#FECB68	0.381519191623794
e88b1a46-c4df-39c2-aa5e-7cd20ccf29c7	Grossman ED	11	4	depression	#FDAD4A	0.484813098675976
e88b1a46-c4df-39c2-aa5e-7cd20ccf29c7	Grossman ED	12	4	experience	#FD913D	0.540657092658417
e88b1a46-c4df-39c2-aa5e-7cd20ccf29c7	Grossman ED	13	4	female	#FD913D	0.554584154935547
e88b1a46-c4df-39c2-aa5e-7cd20ccf29c7	Grossman ED	14	4	male	#FC622F	0.656435324421495
e88b1a46-c4df-39c2-aa5e-7cd20ccf29c7	Grossman ED	15	4	pictures	#D7141E	0.811716444772715
e88b1a46-c4df-39c2-aa5e-7cd20ccf29c7	Grossman ED	16	4		#D7141E	0.813568436308705
e88b1a46-c4df-39c2-aa5e-7cd20ccf29c7	Grossman ED	17	4	perception	#FC622F	0.693247934531304
e88b1a46-c4df-39c2-aa5e-7cd20ccf29c7	Grossman ED	18	4		#F03623	0.728354111830981
e88b1a46-c4df-39c2-aa5e-7cd20ccf29c7	Grossman ED	19	4		#F03623	0.71681331427686
e88b1a46-c4df-39c2-aa5e-7cd20ccf29c7	Grossman ED	20	4		#F03623	0.711094663300572
e88b1a46-c4df-39c2-aa5e-7cd20ccf29c7	Grossman ED	21	4	correct	#FC622F	0.648764850223063
e88b1a46-c4df-39c2-aa5e-7cd20ccf29c7	Grossman ED	22	4	work	#FD913D	0.585993770718401
e88b1a46-c4df-39c2-aa5e-7cd20ccf29c7	Grossman ED	23	4	memory	#FC622F	0.608192039582636
e88b1a46-c4df-39c2-aa5e-7cd20ccf29c7	Grossman ED	1	5	prosodic|prosody	#FECB68	0.373411726782599
e88b1a46-c4df-39c2-aa5e-7cd20ccf29c7	Grossman ED	2	5	phonetic	#FECB68	0.302666298466942
