UUID	AUTHOR	X	Y	TERMS	COLOR	SCORE
e8fc78b1-b965-3ece-86c2-90661ee00651	Aronen HJ	1	1	auditory|speech	#FEE188	0.224736350521876
e8fc78b1-b965-3ece-86c2-90661ee00651	Aronen HJ	2	1		#FEE188	0.216625702614322
e8fc78b1-b965-3ece-86c2-90661ee00651	Aronen HJ	3	1	da|integration	#FDAD4A	0.468314645125932
e8fc78b1-b965-3ece-86c2-90661ee00651	Aronen HJ	4	1		#FD913D	0.587745297876057
e8fc78b1-b965-3ece-86c2-90661ee00651	Aronen HJ	5	1	physical|psychophysical|tactile	#F03623	0.710430666864742
e8fc78b1-b965-3ece-86c2-90661ee00651	Aronen HJ	6	1		#FD913D	0.560458294444025
e8fc78b1-b965-3ece-86c2-90661ee00651	Aronen HJ	7	1	somatosensory|stimulation	#FDAD4A	0.422162586160884
e8fc78b1-b965-3ece-86c2-90661ee00651	Aronen HJ	8	1	painful|pain	#FEE188	0.231442140627022
e8fc78b1-b965-3ece-86c2-90661ee00651	Aronen HJ	9	1		#FEE188	0.277517204710913
e8fc78b1-b965-3ece-86c2-90661ee00651	Aronen HJ	10	1	ratings	#FECB68	0.350065308642918
e8fc78b1-b965-3ece-86c2-90661ee00651	Aronen HJ	11	1	affective|affect	#FEE188	0.264319942232579
e8fc78b1-b965-3ece-86c2-90661ee00651	Aronen HJ	12	1	emotions	#FFF1A9	0.195192688588013
e8fc78b1-b965-3ece-86c2-90661ee00651	Aronen HJ	13	1	expression|expressions|facial	#FFF1A9	0.164195365963739
e8fc78b1-b965-3ece-86c2-90661ee00651	Aronen HJ	14	1		#FECB68	0.315390176471773
e8fc78b1-b965-3ece-86c2-90661ee00651	Aronen HJ	15	1		#FECB68	0.357892022659874
e8fc78b1-b965-3ece-86c2-90661ee00651	Aronen HJ	16	1	emotion|motion|neutral	#FECB68	0.370120727292883
e8fc78b1-b965-3ece-86c2-90661ee00651	Aronen HJ	17	1	rating	#FDAD4A	0.417457178681621
e8fc78b1-b965-3ece-86c2-90661ee00651	Aronen HJ	18	1	negative|positive	#FD913D	0.50112126253812
e8fc78b1-b965-3ece-86c2-90661ee00651	Aronen HJ	19	1		#FC622F	0.652530602001292
e8fc78b1-b965-3ece-86c2-90661ee00651	Aronen HJ	20	1	ear|order	#FC622F	0.634569443273239
e8fc78b1-b965-3ece-86c2-90661ee00651	Aronen HJ	21	1	motor	#FC622F	0.603017230579158
e8fc78b1-b965-3ece-86c2-90661ee00651	Aronen HJ	22	1	visual	#FC622F	0.670075474372503
e8fc78b1-b965-3ece-86c2-90661ee00651	Aronen HJ	23	1	age|image|response	#FC622F	0.61929325951563
e8fc78b1-b965-3ece-86c2-90661ee00651	Aronen HJ	1	2	sound|sounds	#FFF1A9	0.125236637664741
e8fc78b1-b965-3ece-86c2-90661ee00651	Aronen HJ	2	2		#FFF1A9	0.185034395057501
e8fc78b1-b965-3ece-86c2-90661ee00651	Aronen HJ	3	2	audiovisual|bimodal|crossmodal	#FEE188	0.267708574608465
e8fc78b1-b965-3ece-86c2-90661ee00651	Aronen HJ	4	2		#FD913D	0.584719971412042
e8fc78b1-b965-3ece-86c2-90661ee00651	Aronen HJ	5	2		#FC622F	0.668648941157043
e8fc78b1-b965-3ece-86c2-90661ee00651	Aronen HJ	6	2		#FD913D	0.583915317035534
e8fc78b1-b965-3ece-86c2-90661ee00651	Aronen HJ	7	2	sensation	#FEE188	0.208986248004293
e8fc78b1-b965-3ece-86c2-90661ee00651	Aronen HJ	8	2	heat|noxious	#FFF1A9	0.170418207200334
e8fc78b1-b965-3ece-86c2-90661ee00651	Aronen HJ	9	2		#FEE188	0.296883428134514
e8fc78b1-b965-3ece-86c2-90661ee00651	Aronen HJ	10	2		#FECB68	0.338043207211643
e8fc78b1-b965-3ece-86c2-90661ee00651	Aronen HJ	11	2		#FECB68	0.334699071631747
e8fc78b1-b965-3ece-86c2-90661ee00651	Aronen HJ	12	2	valence	#FEE188	0.26434186348799
e8fc78b1-b965-3ece-86c2-90661ee00651	Aronen HJ	13	2	person|social	#FECB68	0.355562168131128
e8fc78b1-b965-3ece-86c2-90661ee00651	Aronen HJ	14	2		#FECB68	0.327293386332529
e8fc78b1-b965-3ece-86c2-90661ee00651	Aronen HJ	15	2	face|faces	#FECB68	0.341411415569406
e8fc78b1-b965-3ece-86c2-90661ee00651	Aronen HJ	16	2		#FDAD4A	0.451122055015596
e8fc78b1-b965-3ece-86c2-90661ee00651	Aronen HJ	17	2		#FD913D	0.511958453439928
e8fc78b1-b965-3ece-86c2-90661ee00651	Aronen HJ	18	2		#FC622F	0.635546459785519
e8fc78b1-b965-3ece-86c2-90661ee00651	Aronen HJ	19	2		#F03623	0.700930316651353
e8fc78b1-b965-3ece-86c2-90661ee00651	Aronen HJ	20	2		#F03623	0.740905876634499
e8fc78b1-b965-3ece-86c2-90661ee00651	Aronen HJ	21	2	images|spatial	#F03623	0.731151925637119
e8fc78b1-b965-3ece-86c2-90661ee00651	Aronen HJ	22	2	control	#FC622F	0.664432039204037
e8fc78b1-b965-3ece-86c2-90661ee00651	Aronen HJ	23	2	time	#FC622F	0.661455275777269
e8fc78b1-b965-3ece-86c2-90661ee00651	Aronen HJ	1	3	acoustic|listening|musical|music|pitch	#FFFFCC	0.0119399375317035
e8fc78b1-b965-3ece-86c2-90661ee00651	Aronen HJ	2	3	noise|tones	#FFF1A9	0.137412944887243
e8fc78b1-b965-3ece-86c2-90661ee00651	Aronen HJ	3	3		#FECB68	0.332784267129544
e8fc78b1-b965-3ece-86c2-90661ee00651	Aronen HJ	4	3		#FDAD4A	0.47346124789244
e8fc78b1-b965-3ece-86c2-90661ee00651	Aronen HJ	5	3	frequency	#FD913D	0.54619498976005
e8fc78b1-b965-3ece-86c2-90661ee00651	Aronen HJ	6	3		#FD913D	0.53472273316316
e8fc78b1-b965-3ece-86c2-90661ee00651	Aronen HJ	7	3		#FECB68	0.308207472109296
e8fc78b1-b965-3ece-86c2-90661ee00651	Aronen HJ	8	3	temperature	#FEE188	0.233375138174699
e8fc78b1-b965-3ece-86c2-90661ee00651	Aronen HJ	9	3		#FECB68	0.314455176696798
e8fc78b1-b965-3ece-86c2-90661ee00651	Aronen HJ	10	3	pleasant|unpleasant	#FEE188	0.285284939300752
e8fc78b1-b965-3ece-86c2-90661ee00651	Aronen HJ	11	3	anxiety	#FEE188	0.220368926627146
e8fc78b1-b965-3ece-86c2-90661ee00651	Aronen HJ	12	3		#FECB68	0.349161946992687
e8fc78b1-b965-3ece-86c2-90661ee00651	Aronen HJ	13	3		#FECB68	0.394788129011062
e8fc78b1-b965-3ece-86c2-90661ee00651	Aronen HJ	14	3		#FECB68	0.377401601424166
e8fc78b1-b965-3ece-86c2-90661ee00651	Aronen HJ	15	3		#FDAD4A	0.422660755541536
e8fc78b1-b965-3ece-86c2-90661ee00651	Aronen HJ	16	3	picture	#FDAD4A	0.497131861230287
e8fc78b1-b965-3ece-86c2-90661ee00651	Aronen HJ	17	3		#FD913D	0.583682699527617
e8fc78b1-b965-3ece-86c2-90661ee00651	Aronen HJ	18	3	value	#FC622F	0.700051876381429
e8fc78b1-b965-3ece-86c2-90661ee00651	Aronen HJ	19	3	cue	#F03623	0.799965020865125
e8fc78b1-b965-3ece-86c2-90661ee00651	Aronen HJ	20	3	error|target	#F03623	0.75969476752952
e8fc78b1-b965-3ece-86c2-90661ee00651	Aronen HJ	21	3	attention	#F03623	0.790158243584744
e8fc78b1-b965-3ece-86c2-90661ee00651	Aronen HJ	22	3		#F03623	0.707319944892943
e8fc78b1-b965-3ece-86c2-90661ee00651	Aronen HJ	23	3	number	#FC622F	0.692748042504938
e8fc78b1-b965-3ece-86c2-90661ee00651	Aronen HJ	1	4	voice	#FFFFCC	0.0163655317862107
e8fc78b1-b965-3ece-86c2-90661ee00651	Aronen HJ	2	4		#FFF1A9	0.13110135936643
e8fc78b1-b965-3ece-86c2-90661ee00651	Aronen HJ	3	4	hearing	#FEE188	0.206711467077763
e8fc78b1-b965-3ece-86c2-90661ee00651	Aronen HJ	4	4		#FECB68	0.368649195036993
e8fc78b1-b965-3ece-86c2-90661ee00651	Aronen HJ	5	4	overt	#FDAD4A	0.466152714141446
e8fc78b1-b965-3ece-86c2-90661ee00651	Aronen HJ	6	4		#FDAD4A	0.437295735957901
e8fc78b1-b965-3ece-86c2-90661ee00651	Aronen HJ	7	4		#FECB68	0.361906275726749
e8fc78b1-b965-3ece-86c2-90661ee00651	Aronen HJ	8	4	nociceptive|nonpainful|painrelated	#FFF1A9	0.174611422224829
e8fc78b1-b965-3ece-86c2-90661ee00651	Aronen HJ	9	4	unpleasantness	#FEE188	0.296323706441287
e8fc78b1-b965-3ece-86c2-90661ee00651	Aronen HJ	10	4	skin|subjective	#FDAD4A	0.497660242087223
e8fc78b1-b965-3ece-86c2-90661ee00651	Aronen HJ	11	4	depression	#FECB68	0.351035498426749
e8fc78b1-b965-3ece-86c2-90661ee00651	Aronen HJ	12	4	experience	#FECB68	0.348810193242851
e8fc78b1-b965-3ece-86c2-90661ee00651	Aronen HJ	13	4	female	#FECB68	0.396474053241974
e8fc78b1-b965-3ece-86c2-90661ee00651	Aronen HJ	14	4	male	#FDAD4A	0.413832525178903
e8fc78b1-b965-3ece-86c2-90661ee00651	Aronen HJ	15	4	pictures	#FECB68	0.389710220257242
e8fc78b1-b965-3ece-86c2-90661ee00651	Aronen HJ	16	4		#FD913D	0.55546272856015
e8fc78b1-b965-3ece-86c2-90661ee00651	Aronen HJ	17	4	perception	#FC622F	0.611331351178994
e8fc78b1-b965-3ece-86c2-90661ee00651	Aronen HJ	18	4		#F03623	0.763708744578868
e8fc78b1-b965-3ece-86c2-90661ee00651	Aronen HJ	19	4		#F03623	0.781165552065648
e8fc78b1-b965-3ece-86c2-90661ee00651	Aronen HJ	20	4		#F03623	0.781657169029586
e8fc78b1-b965-3ece-86c2-90661ee00651	Aronen HJ	21	4	correct	#F03623	0.717777283655337
e8fc78b1-b965-3ece-86c2-90661ee00651	Aronen HJ	22	4	work	#FC622F	0.694918519482479
e8fc78b1-b965-3ece-86c2-90661ee00651	Aronen HJ	23	4	memory	#FC622F	0.631354457432835
e8fc78b1-b965-3ece-86c2-90661ee00651	Aronen HJ	1	5	prosodic|prosody	#FFFFCC	0
e8fc78b1-b965-3ece-86c2-90661ee00651	Aronen HJ	2	5	phonetic	#FFFFCC	0.0445715995518029
e8fc78b1-b965-3ece-86c2-90661ee00651	Aronen HJ	3	5	syllable|syllables	#FEE188	0.278731063683757
e8fc78b1-b965-3ece-86c2-90661ee00651	Aronen HJ	4	5		#FECB68	0.317426413869694
e8fc78b1-b965-3ece-86c2-90661ee00651	Aronen HJ	5	5	lip|production	#FEE188	0.277758852043312
e8fc78b1-b965-3ece-86c2-90661ee00651	Aronen HJ	6	5	somatotopic	#FEE188	0.247496562505968
e8fc78b1-b965-3ece-86c2-90661ee00651	Aronen HJ	7	5		#FDAD4A	0.446013730251775
e8fc78b1-b965-3ece-86c2-90661ee00651	Aronen HJ	8	5		#FDAD4A	0.403325548728067
e8fc78b1-b965-3ece-86c2-90661ee00651	Aronen HJ	9	5	empathy	#FECB68	0.384236163119123
e8fc78b1-b965-3ece-86c2-90661ee00651	Aronen HJ	10	5		#FDAD4A	0.448033738872861
e8fc78b1-b965-3ece-86c2-90661ee00651	Aronen HJ	11	5	disorder	#FECB68	0.319842481670732
e8fc78b1-b965-3ece-86c2-90661ee00651	Aronen HJ	12	5		#FDAD4A	0.435356295661345
e8fc78b1-b965-3ece-86c2-90661ee00651	Aronen HJ	13	5		#FDAD4A	0.418031058522066
e8fc78b1-b965-3ece-86c2-90661ee00651	Aronen HJ	14	5		#FDAD4A	0.407034292766708
e8fc78b1-b965-3ece-86c2-90661ee00651	Aronen HJ	15	5		#FDAD4A	0.436458211434121
e8fc78b1-b965-3ece-86c2-90661ee00651	Aronen HJ	16	5		#FD913D	0.517938299436559
e8fc78b1-b965-3ece-86c2-90661ee00651	Aronen HJ	17	5		#FC622F	0.604060876287107
e8fc78b1-b965-3ece-86c2-90661ee00651	Aronen HJ	18	5	mental	#F03623	0.708055562270368
e8fc78b1-b965-3ece-86c2-90661ee00651	Aronen HJ	19	5	go	#F03623	0.713655324059082
e8fc78b1-b965-3ece-86c2-90661ee00651	Aronen HJ	20	5	object	#FC622F	0.680110507165677
e8fc78b1-b965-3ece-86c2-90661ee00651	Aronen HJ	21	5		#FC622F	0.666487297823089
e8fc78b1-b965-3ece-86c2-90661ee00651	Aronen HJ	22	5		#FD913D	0.556143298737755
e8fc78b1-b965-3ece-86c2-90661ee00651	Aronen HJ	23	5	word|words	#FECB68	0.363855046421982
e8fc78b1-b965-3ece-86c2-90661ee00651	Aronen HJ	1	6		#FECB68	0.331941173878336
e8fc78b1-b965-3ece-86c2-90661ee00651	Aronen HJ	2	6		#FECB68	0.345357456064101
e8fc78b1-b965-3ece-86c2-90661ee00651	Aronen HJ	3	6		#FDAD4A	0.414746376156639
e8fc78b1-b965-3ece-86c2-90661ee00651	Aronen HJ	4	6	vocal	#FFF1A9	0.132146175823397
e8fc78b1-b965-3ece-86c2-90661ee00651	Aronen HJ	5	6	articulatory	#FFF1A9	0.132308514863373
e8fc78b1-b965-3ece-86c2-90661ee00651	Aronen HJ	6	6		#FDAD4A	0.4051419310898
e8fc78b1-b965-3ece-86c2-90661ee00651	Aronen HJ	7	6	oddball	#FDAD4A	0.419461104705029
e8fc78b1-b965-3ece-86c2-90661ee00651	Aronen HJ	8	6	perceived	#FD913D	0.518456543745114
e8fc78b1-b965-3ece-86c2-90661ee00651	Aronen HJ	9	6	errorrelated	#FEE188	0.296199624281145
e8fc78b1-b965-3ece-86c2-90661ee00651	Aronen HJ	10	6	approach	#FECB68	0.347735495873185
e8fc78b1-b965-3ece-86c2-90661ee00651	Aronen HJ	11	6	schizophrenia	#FDAD4A	0.421425510586395
e8fc78b1-b965-3ece-86c2-90661ee00651	Aronen HJ	12	6	acquisition	#FECB68	0.366010587511442
e8fc78b1-b965-3ece-86c2-90661ee00651	Aronen HJ	13	6		#FECB68	0.367654371272641
e8fc78b1-b965-3ece-86c2-90661ee00651	Aronen HJ	14	6		#FEE188	0.265588345628259
e8fc78b1-b965-3ece-86c2-90661ee00651	Aronen HJ	15	6		#FEE188	0.290700956349337
e8fc78b1-b965-3ece-86c2-90661ee00651	Aronen HJ	16	6		#FECB68	0.342184092747115
e8fc78b1-b965-3ece-86c2-90661ee00651	Aronen HJ	17	6		#FDAD4A	0.478935138047538
e8fc78b1-b965-3ece-86c2-90661ee00651	Aronen HJ	18	6		#FD913D	0.569805335641799
e8fc78b1-b965-3ece-86c2-90661ee00651	Aronen HJ	19	6		#FC622F	0.609584516915391
e8fc78b1-b965-3ece-86c2-90661ee00651	Aronen HJ	20	6	objects	#F03623	0.704645931940064
e8fc78b1-b965-3ece-86c2-90661ee00651	Aronen HJ	21	6		#FD913D	0.589946020949569
e8fc78b1-b965-3ece-86c2-90661ee00651	Aronen HJ	22	6		#FDAD4A	0.441855202292287
e8fc78b1-b965-3ece-86c2-90661ee00651	Aronen HJ	23	6	language|semantic	#FECB68	0.330542090504252
e8fc78b1-b965-3ece-86c2-90661ee00651	Aronen HJ	1	7	dopamine|dopaminergic	#FECB68	0.334012738766882
e8fc78b1-b965-3ece-86c2-90661ee00651	Aronen HJ	2	7		#FDAD4A	0.449123955232444
e8fc78b1-b965-3ece-86c2-90661ee00651	Aronen HJ	3	7		#FD913D	0.592093965811167
e8fc78b1-b965-3ece-86c2-90661ee00651	Aronen HJ	4	7		#FC622F	0.607494803022645
e8fc78b1-b965-3ece-86c2-90661ee00651	Aronen HJ	5	7		#FC622F	0.637755518491138
e8fc78b1-b965-3ece-86c2-90661ee00651	Aronen HJ	6	7		#FD913D	0.591820387449463
e8fc78b1-b965-3ece-86c2-90661ee00651	Aronen HJ	7	7		#FD913D	0.579970124923621
e8fc78b1-b965-3ece-86c2-90661ee00651	Aronen HJ	8	7		#FDAD4A	0.493854834352118
e8fc78b1-b965-3ece-86c2-90661ee00651	Aronen HJ	9	7		#FDAD4A	0.459847870461216
e8fc78b1-b965-3ece-86c2-90661ee00651	Aronen HJ	10	7		#FDAD4A	0.438077815462096
e8fc78b1-b965-3ece-86c2-90661ee00651	Aronen HJ	11	7		#FDAD4A	0.427762909764624
e8fc78b1-b965-3ece-86c2-90661ee00651	Aronen HJ	12	7		#FDAD4A	0.405789219453746
e8fc78b1-b965-3ece-86c2-90661ee00651	Aronen HJ	13	7	linguistic|spoken	#FEE188	0.22360820246056
e8fc78b1-b965-3ece-86c2-90661ee00651	Aronen HJ	14	7		#FEE188	0.229010572593576
e8fc78b1-b965-3ece-86c2-90661ee00651	Aronen HJ	15	7	comprehension|sentence|sentences|syntactic	#FFF1A9	0.1776834559269
e8fc78b1-b965-3ece-86c2-90661ee00651	Aronen HJ	16	7		#FEE188	0.26976399994855
e8fc78b1-b965-3ece-86c2-90661ee00651	Aronen HJ	17	7		#FECB68	0.398338311145779
e8fc78b1-b965-3ece-86c2-90661ee00651	Aronen HJ	18	7	phonological|reading|read	#FECB68	0.357098516409823
e8fc78b1-b965-3ece-86c2-90661ee00651	Aronen HJ	19	7		#FD913D	0.547948736663325
e8fc78b1-b965-3ece-86c2-90661ee00651	Aronen HJ	20	7	perceptual|recognition	#FC622F	0.601942591078721
e8fc78b1-b965-3ece-86c2-90661ee00651	Aronen HJ	21	7		#FD913D	0.575371169255836
e8fc78b1-b965-3ece-86c2-90661ee00651	Aronen HJ	22	7		#FDAD4A	0.452142338663121
e8fc78b1-b965-3ece-86c2-90661ee00651	Aronen HJ	23	7	verb	#FDAD4A	0.416666370988265
e8fc78b1-b965-3ece-86c2-90661ee00651	Aronen HJ	1	8	outcome|reward	#FDAD4A	0.457228271863016
e8fc78b1-b965-3ece-86c2-90661ee00651	Aronen HJ	2	8	anticipation	#FDAD4A	0.409389197543876
e8fc78b1-b965-3ece-86c2-90661ee00651	Aronen HJ	3	8	outcomes	#FDAD4A	0.455943947982934
e8fc78b1-b965-3ece-86c2-90661ee00651	Aronen HJ	4	8	choice|choices	#FD913D	0.579728305462702
e8fc78b1-b965-3ece-86c2-90661ee00651	Aronen HJ	5	8	decisions|probability	#FD913D	0.574715761727821
e8fc78b1-b965-3ece-86c2-90661ee00651	Aronen HJ	6	8	reversal	#FC622F	0.662705066726277
e8fc78b1-b965-3ece-86c2-90661ee00651	Aronen HJ	7	8	classification|incorrect	#FDAD4A	0.422288911952716
e8fc78b1-b965-3ece-86c2-90661ee00651	Aronen HJ	8	8		#FDAD4A	0.495382861341312
e8fc78b1-b965-3ece-86c2-90661ee00651	Aronen HJ	9	8	agerelated|fluency|probes	#FEE188	0.289003087106766
e8fc78b1-b965-3ece-86c2-90661ee00651	Aronen HJ	10	8	engaged	#FECB68	0.339121222655482
e8fc78b1-b965-3ece-86c2-90661ee00651	Aronen HJ	11	8	explicit|knowledge	#FECB68	0.340738036214301
e8fc78b1-b965-3ece-86c2-90661ee00651	Aronen HJ	12	8		#FECB68	0.333161131667244
e8fc78b1-b965-3ece-86c2-90661ee00651	Aronen HJ	13	8		#FEE188	0.255315280326654
e8fc78b1-b965-3ece-86c2-90661ee00651	Aronen HJ	14	8		#FEE188	0.219571644529207
e8fc78b1-b965-3ece-86c2-90661ee00651	Aronen HJ	15	8		#FEE188	0.213365535446955
e8fc78b1-b965-3ece-86c2-90661ee00651	Aronen HJ	16	8		#FEE188	0.246596860747765
e8fc78b1-b965-3ece-86c2-90661ee00651	Aronen HJ	17	8	lexical	#FEE188	0.261479297244505
e8fc78b1-b965-3ece-86c2-90661ee00651	Aronen HJ	18	8		#FDAD4A	0.435779108848316
e8fc78b1-b965-3ece-86c2-90661ee00651	Aronen HJ	19	8		#FD913D	0.517271213831072
e8fc78b1-b965-3ece-86c2-90661ee00651	Aronen HJ	20	8		#FD913D	0.580856922409319
e8fc78b1-b965-3ece-86c2-90661ee00651	Aronen HJ	21	8	encoding	#FD913D	0.504805371279523
e8fc78b1-b965-3ece-86c2-90661ee00651	Aronen HJ	22	8	retrieval	#FD913D	0.519261567631748
e8fc78b1-b965-3ece-86c2-90661ee00651	Aronen HJ	23	8	verbal	#FDAD4A	0.47867392970185
e8fc78b1-b965-3ece-86c2-90661ee00651	Aronen HJ	1	9	incentive|monetary|money|rewards	#FECB68	0.363672129172075
e8fc78b1-b965-3ece-86c2-90661ee00651	Aronen HJ	2	9	loss	#FECB68	0.386904835721788
e8fc78b1-b965-3ece-86c2-90661ee00651	Aronen HJ	3	9		#FD913D	0.550581758632736
e8fc78b1-b965-3ece-86c2-90661ee00651	Aronen HJ	4	9		#FD913D	0.596720212639962
e8fc78b1-b965-3ece-86c2-90661ee00651	Aronen HJ	5	9	decisionmaking	#FD913D	0.511472641350525
e8fc78b1-b965-3ece-86c2-90661ee00651	Aronen HJ	6	9		#FD913D	0.596224135706836
e8fc78b1-b965-3ece-86c2-90661ee00651	Aronen HJ	7	9		#FD913D	0.556275074798435
e8fc78b1-b965-3ece-86c2-90661ee00651	Aronen HJ	8	9		#FDAD4A	0.49091382181671
e8fc78b1-b965-3ece-86c2-90661ee00651	Aronen HJ	9	9		#FDAD4A	0.428072886327481
e8fc78b1-b965-3ece-86c2-90661ee00651	Aronen HJ	10	9		#FECB68	0.379666951924325
e8fc78b1-b965-3ece-86c2-90661ee00651	Aronen HJ	11	9		#FECB68	0.351067601904748
