UUID	AUTHOR	X	Y	TERMS	COLOR	SCORE
e91ef944-da61-3112-bbb4-b4a04cd28998	Wessa M	1	1	auditory|speech	#FEE188	0.206513839327183
e91ef944-da61-3112-bbb4-b4a04cd28998	Wessa M	2	1		#FFF1A9	0.192045953121077
e91ef944-da61-3112-bbb4-b4a04cd28998	Wessa M	3	1	da|integration	#FDAD4A	0.420662316264493
e91ef944-da61-3112-bbb4-b4a04cd28998	Wessa M	4	1		#FECB68	0.383226065762324
e91ef944-da61-3112-bbb4-b4a04cd28998	Wessa M	5	1	physical|psychophysical|tactile	#FECB68	0.373493880489236
e91ef944-da61-3112-bbb4-b4a04cd28998	Wessa M	6	1		#FDAD4A	0.460520517403843
e91ef944-da61-3112-bbb4-b4a04cd28998	Wessa M	7	1	somatosensory|stimulation	#FECB68	0.390448529472766
e91ef944-da61-3112-bbb4-b4a04cd28998	Wessa M	8	1	painful|pain	#FDAD4A	0.460947026876198
e91ef944-da61-3112-bbb4-b4a04cd28998	Wessa M	9	1		#FD913D	0.55757719304592
e91ef944-da61-3112-bbb4-b4a04cd28998	Wessa M	10	1	ratings	#F03623	0.785993426549943
e91ef944-da61-3112-bbb4-b4a04cd28998	Wessa M	11	1	affective|affect	#B10026	0.957115814896304
e91ef944-da61-3112-bbb4-b4a04cd28998	Wessa M	12	1	emotions	#F03623	0.741763683676759
e91ef944-da61-3112-bbb4-b4a04cd28998	Wessa M	13	1	expression|expressions|facial	#FC622F	0.686721340516805
e91ef944-da61-3112-bbb4-b4a04cd28998	Wessa M	14	1		#F03623	0.789201213194778
e91ef944-da61-3112-bbb4-b4a04cd28998	Wessa M	15	1		#F03623	0.781172399504143
e91ef944-da61-3112-bbb4-b4a04cd28998	Wessa M	16	1	emotion|motion|neutral	#F03623	0.742545357353153
e91ef944-da61-3112-bbb4-b4a04cd28998	Wessa M	17	1	rating	#F03623	0.768899333113167
e91ef944-da61-3112-bbb4-b4a04cd28998	Wessa M	18	1	negative|positive	#F03623	0.80050931696107
e91ef944-da61-3112-bbb4-b4a04cd28998	Wessa M	19	1		#F03623	0.752514661121657
e91ef944-da61-3112-bbb4-b4a04cd28998	Wessa M	20	1	ear|order	#FC622F	0.678953106771568
e91ef944-da61-3112-bbb4-b4a04cd28998	Wessa M	21	1	motor	#FDAD4A	0.43667507298201
e91ef944-da61-3112-bbb4-b4a04cd28998	Wessa M	22	1	visual	#FDAD4A	0.428608353975857
e91ef944-da61-3112-bbb4-b4a04cd28998	Wessa M	23	1	age|image|response	#FD913D	0.577270944650686
e91ef944-da61-3112-bbb4-b4a04cd28998	Wessa M	1	2	sound|sounds	#FFF1A9	0.111331856401323
e91ef944-da61-3112-bbb4-b4a04cd28998	Wessa M	2	2		#FFF1A9	0.174261767764788
e91ef944-da61-3112-bbb4-b4a04cd28998	Wessa M	3	2	audiovisual|bimodal|crossmodal	#FFFFCC	0.0900862621403638
e91ef944-da61-3112-bbb4-b4a04cd28998	Wessa M	4	2		#FECB68	0.383409786548905
e91ef944-da61-3112-bbb4-b4a04cd28998	Wessa M	5	2		#FDAD4A	0.425354823928349
e91ef944-da61-3112-bbb4-b4a04cd28998	Wessa M	6	2		#FDAD4A	0.46646845134421
e91ef944-da61-3112-bbb4-b4a04cd28998	Wessa M	7	2	sensation	#FECB68	0.351544531663564
e91ef944-da61-3112-bbb4-b4a04cd28998	Wessa M	8	2	heat|noxious	#FECB68	0.384543194940231
e91ef944-da61-3112-bbb4-b4a04cd28998	Wessa M	9	2		#FD913D	0.599834090163244
e91ef944-da61-3112-bbb4-b4a04cd28998	Wessa M	10	2		#D7141E	0.899831775130629
e91ef944-da61-3112-bbb4-b4a04cd28998	Wessa M	11	2		#B10026	0.923112518503635
e91ef944-da61-3112-bbb4-b4a04cd28998	Wessa M	12	2	valence	#B10026	0.939083812446291
e91ef944-da61-3112-bbb4-b4a04cd28998	Wessa M	13	2	person|social	#FC622F	0.683805260454849
e91ef944-da61-3112-bbb4-b4a04cd28998	Wessa M	14	2		#F03623	0.790519197297285
e91ef944-da61-3112-bbb4-b4a04cd28998	Wessa M	15	2	face|faces	#FC622F	0.620649760489303
e91ef944-da61-3112-bbb4-b4a04cd28998	Wessa M	16	2		#F03623	0.782288784008112
e91ef944-da61-3112-bbb4-b4a04cd28998	Wessa M	17	2		#D7141E	0.808919863521213
e91ef944-da61-3112-bbb4-b4a04cd28998	Wessa M	18	2		#F03623	0.790128561866185
e91ef944-da61-3112-bbb4-b4a04cd28998	Wessa M	19	2		#F03623	0.738445821006454
e91ef944-da61-3112-bbb4-b4a04cd28998	Wessa M	20	2		#FC622F	0.62842921449537
e91ef944-da61-3112-bbb4-b4a04cd28998	Wessa M	21	2	images|spatial	#FD913D	0.572361775081284
e91ef944-da61-3112-bbb4-b4a04cd28998	Wessa M	22	2	control	#FC622F	0.611264409947299
e91ef944-da61-3112-bbb4-b4a04cd28998	Wessa M	23	2	time	#FD913D	0.569864739684208
e91ef944-da61-3112-bbb4-b4a04cd28998	Wessa M	1	3	acoustic|listening|musical|music|pitch	#FFFFCC	0.0596738498852541
e91ef944-da61-3112-bbb4-b4a04cd28998	Wessa M	2	3	noise|tones	#FFF1A9	0.127477580827567
e91ef944-da61-3112-bbb4-b4a04cd28998	Wessa M	3	3		#FEE188	0.265929152339924
e91ef944-da61-3112-bbb4-b4a04cd28998	Wessa M	4	3		#FECB68	0.33577727384591
e91ef944-da61-3112-bbb4-b4a04cd28998	Wessa M	5	3	frequency	#FECB68	0.386372498871446
e91ef944-da61-3112-bbb4-b4a04cd28998	Wessa M	6	3		#FDAD4A	0.479097361844123
e91ef944-da61-3112-bbb4-b4a04cd28998	Wessa M	7	3		#FDAD4A	0.426668366458904
e91ef944-da61-3112-bbb4-b4a04cd28998	Wessa M	8	3	temperature	#FDAD4A	0.443519905918254
e91ef944-da61-3112-bbb4-b4a04cd28998	Wessa M	9	3		#FD913D	0.580241166213557
e91ef944-da61-3112-bbb4-b4a04cd28998	Wessa M	10	3	pleasant|unpleasant	#F03623	0.77024015081837
e91ef944-da61-3112-bbb4-b4a04cd28998	Wessa M	11	3	anxiety	#D7141E	0.889238285463329
e91ef944-da61-3112-bbb4-b4a04cd28998	Wessa M	12	3		#D7141E	0.895820870791711
e91ef944-da61-3112-bbb4-b4a04cd28998	Wessa M	13	3		#D7141E	0.840296762491385
e91ef944-da61-3112-bbb4-b4a04cd28998	Wessa M	14	3		#D7141E	0.817342917413035
e91ef944-da61-3112-bbb4-b4a04cd28998	Wessa M	15	3		#F03623	0.787131008635803
e91ef944-da61-3112-bbb4-b4a04cd28998	Wessa M	16	3	picture	#FC622F	0.699732863953864
e91ef944-da61-3112-bbb4-b4a04cd28998	Wessa M	17	3		#F03623	0.783705319092581
e91ef944-da61-3112-bbb4-b4a04cd28998	Wessa M	18	3	value	#F03623	0.738749062932143
e91ef944-da61-3112-bbb4-b4a04cd28998	Wessa M	19	3	cue	#FC622F	0.623663131123276
e91ef944-da61-3112-bbb4-b4a04cd28998	Wessa M	20	3	error|target	#FC622F	0.648245153499327
e91ef944-da61-3112-bbb4-b4a04cd28998	Wessa M	21	3	attention	#FD913D	0.56185793093166
e91ef944-da61-3112-bbb4-b4a04cd28998	Wessa M	22	3		#FD913D	0.599767759580652
e91ef944-da61-3112-bbb4-b4a04cd28998	Wessa M	23	3	number	#FC622F	0.608306238405828
e91ef944-da61-3112-bbb4-b4a04cd28998	Wessa M	1	4	voice	#FFF1A9	0.122607198286709
e91ef944-da61-3112-bbb4-b4a04cd28998	Wessa M	2	4		#FFF1A9	0.190148940753734
e91ef944-da61-3112-bbb4-b4a04cd28998	Wessa M	3	4	hearing	#FFF1A9	0.12318468678933
e91ef944-da61-3112-bbb4-b4a04cd28998	Wessa M	4	4		#FEE188	0.290240172526355
