UUID	AUTHOR	X	Y	TERMS	COLOR	SCORE
e9dac232-2c60-37cc-92ec-da1f331f4397	Damasio H	1	1	auditory|speech	#FC622F	0.654765490299789
e9dac232-2c60-37cc-92ec-da1f331f4397	Damasio H	2	1		#FC622F	0.62144976837553
e9dac232-2c60-37cc-92ec-da1f331f4397	Damasio H	3	1	da|integration	#FD913D	0.581708260489962
e9dac232-2c60-37cc-92ec-da1f331f4397	Damasio H	4	1		#D7141E	0.854137325585947
e9dac232-2c60-37cc-92ec-da1f331f4397	Damasio H	5	1	physical|psychophysical|tactile	#D7141E	0.858835202195401
e9dac232-2c60-37cc-92ec-da1f331f4397	Damasio H	6	1		#B10026	1
e9dac232-2c60-37cc-92ec-da1f331f4397	Damasio H	7	1	somatosensory|stimulation	#B10026	0.995926724451335
e9dac232-2c60-37cc-92ec-da1f331f4397	Damasio H	8	1	painful|pain	#B10026	0.94731433400472
e9dac232-2c60-37cc-92ec-da1f331f4397	Damasio H	9	1		#B10026	0.981555104826843
e9dac232-2c60-37cc-92ec-da1f331f4397	Damasio H	10	1	ratings	#F03623	0.763119610246552
e9dac232-2c60-37cc-92ec-da1f331f4397	Damasio H	11	1	affective|affect	#FDAD4A	0.476373089785822
e9dac232-2c60-37cc-92ec-da1f331f4397	Damasio H	12	1	emotions	#FD913D	0.54246765657664
e9dac232-2c60-37cc-92ec-da1f331f4397	Damasio H	13	1	expression|expressions|facial	#FECB68	0.391667586666228
e9dac232-2c60-37cc-92ec-da1f331f4397	Damasio H	14	1		#FDAD4A	0.483210561654768
e9dac232-2c60-37cc-92ec-da1f331f4397	Damasio H	15	1		#FDAD4A	0.48138075822136
e9dac232-2c60-37cc-92ec-da1f331f4397	Damasio H	16	1	emotion|motion|neutral	#FDAD4A	0.491355240522806
e9dac232-2c60-37cc-92ec-da1f331f4397	Damasio H	17	1	rating	#FC622F	0.637280166435653
e9dac232-2c60-37cc-92ec-da1f331f4397	Damasio H	18	1	negative|positive	#FDAD4A	0.477186382323801
e9dac232-2c60-37cc-92ec-da1f331f4397	Damasio H	19	1		#FD913D	0.530396423120471
e9dac232-2c60-37cc-92ec-da1f331f4397	Damasio H	20	1	ear|order	#FDAD4A	0.480894958422413
e9dac232-2c60-37cc-92ec-da1f331f4397	Damasio H	21	1	motor	#FC622F	0.622071639258374
e9dac232-2c60-37cc-92ec-da1f331f4397	Damasio H	22	1	visual	#FDAD4A	0.460921434542062
e9dac232-2c60-37cc-92ec-da1f331f4397	Damasio H	23	1	age|image|response	#FD913D	0.513408587542638
e9dac232-2c60-37cc-92ec-da1f331f4397	Damasio H	1	2	sound|sounds	#FD913D	0.544390230207316
e9dac232-2c60-37cc-92ec-da1f331f4397	Damasio H	2	2		#FC622F	0.605842567625468
e9dac232-2c60-37cc-92ec-da1f331f4397	Damasio H	3	2	audiovisual|bimodal|crossmodal	#FD913D	0.554564547420399
e9dac232-2c60-37cc-92ec-da1f331f4397	Damasio H	4	2		#D7141E	0.835672325871187
e9dac232-2c60-37cc-92ec-da1f331f4397	Damasio H	5	2		#B10026	0.917136773632392
e9dac232-2c60-37cc-92ec-da1f331f4397	Damasio H	6	2		#B10026	0.991222463628398
e9dac232-2c60-37cc-92ec-da1f331f4397	Damasio H	7	2	sensation	#B10026	0.985455499856373
e9dac232-2c60-37cc-92ec-da1f331f4397	Damasio H	8	2	heat|noxious	#B10026	0.91556332720585
e9dac232-2c60-37cc-92ec-da1f331f4397	Damasio H	9	2		#B10026	0.940873271442549
e9dac232-2c60-37cc-92ec-da1f331f4397	Damasio H	10	2		#FC622F	0.699721957546216
e9dac232-2c60-37cc-92ec-da1f331f4397	Damasio H	11	2		#FC622F	0.629566525598795
e9dac232-2c60-37cc-92ec-da1f331f4397	Damasio H	12	2	valence	#FECB68	0.380194327729163
e9dac232-2c60-37cc-92ec-da1f331f4397	Damasio H	13	2	person|social	#FC622F	0.609501228448863
e9dac232-2c60-37cc-92ec-da1f331f4397	Damasio H	14	2		#FDAD4A	0.490525552588894
e9dac232-2c60-37cc-92ec-da1f331f4397	Damasio H	15	2	face|faces	#FECB68	0.366621942780694
e9dac232-2c60-37cc-92ec-da1f331f4397	Damasio H	16	2		#FD913D	0.540637324830015
e9dac232-2c60-37cc-92ec-da1f331f4397	Damasio H	17	2		#FD913D	0.559008310367977
e9dac232-2c60-37cc-92ec-da1f331f4397	Damasio H	18	2		#FD913D	0.567752894512317
e9dac232-2c60-37cc-92ec-da1f331f4397	Damasio H	19	2		#FD913D	0.545267325858109
e9dac232-2c60-37cc-92ec-da1f331f4397	Damasio H	20	2		#FD913D	0.537073610217989
e9dac232-2c60-37cc-92ec-da1f331f4397	Damasio H	21	2	images|spatial	#FD913D	0.505742982196191
e9dac232-2c60-37cc-92ec-da1f331f4397	Damasio H	22	2	control	#FDAD4A	0.497161531776634
e9dac232-2c60-37cc-92ec-da1f331f4397	Damasio H	23	2	time	#FD913D	0.517877330523047
e9dac232-2c60-37cc-92ec-da1f331f4397	Damasio H	1	3	acoustic|listening|musical|music|pitch	#FDAD4A	0.493449916812132
e9dac232-2c60-37cc-92ec-da1f331f4397	Damasio H	2	3	noise|tones	#FD913D	0.554709845086975
e9dac232-2c60-37cc-92ec-da1f331f4397	Damasio H	3	3		#F03623	0.70161162739957
e9dac232-2c60-37cc-92ec-da1f331f4397	Damasio H	4	3		#F03623	0.770034627123767
e9dac232-2c60-37cc-92ec-da1f331f4397	Damasio H	5	3	frequency	#F03623	0.745006641318985
e9dac232-2c60-37cc-92ec-da1f331f4397	Damasio H	6	3		#B10026	0.96869390674746
e9dac232-2c60-37cc-92ec-da1f331f4397	Damasio H	7	3		#B10026	0.991238352484499
e9dac232-2c60-37cc-92ec-da1f331f4397	Damasio H	8	3	temperature	#F03623	0.740701090048398
e9dac232-2c60-37cc-92ec-da1f331f4397	Damasio H	9	3		#B10026	0.922925452552356
e9dac232-2c60-37cc-92ec-da1f331f4397	Damasio H	10	3	pleasant|unpleasant	#FC622F	0.64664897098822
e9dac232-2c60-37cc-92ec-da1f331f4397	Damasio H	11	3	anxiety	#FDAD4A	0.409672396594618
e9dac232-2c60-37cc-92ec-da1f331f4397	Damasio H	12	3		#FD913D	0.585111097795044
e9dac232-2c60-37cc-92ec-da1f331f4397	Damasio H	13	3		#FC622F	0.601757263788176
e9dac232-2c60-37cc-92ec-da1f331f4397	Damasio H	14	3		#FD913D	0.525875128426644
e9dac232-2c60-37cc-92ec-da1f331f4397	Damasio H	15	3		#FD913D	0.535068965799944
e9dac232-2c60-37cc-92ec-da1f331f4397	Damasio H	16	3	picture	#FDAD4A	0.472622646245062
e9dac232-2c60-37cc-92ec-da1f331f4397	Damasio H	17	3		#FC622F	0.611509734209499
e9dac232-2c60-37cc-92ec-da1f331f4397	Damasio H	18	3	value	#FC622F	0.65263559898359
e9dac232-2c60-37cc-92ec-da1f331f4397	Damasio H	19	3	cue	#FDAD4A	0.44531044539042
e9dac232-2c60-37cc-92ec-da1f331f4397	Damasio H	20	3	error|target	#FDAD4A	0.437875157936463
e9dac232-2c60-37cc-92ec-da1f331f4397	Damasio H	21	3	attention	#FDAD4A	0.449536376098216
e9dac232-2c60-37cc-92ec-da1f331f4397	Damasio H	22	3		#FDAD4A	0.436254864792452
e9dac232-2c60-37cc-92ec-da1f331f4397	Damasio H	23	3	number	#FDAD4A	0.441608064617597
e9dac232-2c60-37cc-92ec-da1f331f4397	Damasio H	1	4	voice	#FD913D	0.500016342881775
e9dac232-2c60-37cc-92ec-da1f331f4397	Damasio H	2	4		#FD913D	0.556919182185225
e9dac232-2c60-37cc-92ec-da1f331f4397	Damasio H	3	4	hearing	#FD913D	0.598699015858689
e9dac232-2c60-37cc-92ec-da1f331f4397	Damasio H	4	4		#F03623	0.726873424815883
e9dac232-2c60-37cc-92ec-da1f331f4397	Damasio H	5	4	overt	#F03623	0.716603249311598
e9dac232-2c60-37cc-92ec-da1f331f4397	Damasio H	6	4		#D7141E	0.868725380126263
e9dac232-2c60-37cc-92ec-da1f331f4397	Damasio H	7	4		#B10026	0.998319086911763
e9dac232-2c60-37cc-92ec-da1f331f4397	Damasio H	8	4	nociceptive|nonpainful|painrelated	#D7141E	0.88266068073807
e9dac232-2c60-37cc-92ec-da1f331f4397	Damasio H	9	4	unpleasantness	#D7141E	0.817875890988216
e9dac232-2c60-37cc-92ec-da1f331f4397	Damasio H	10	4	skin|subjective	#F03623	0.713092735056287
e9dac232-2c60-37cc-92ec-da1f331f4397	Damasio H	11	4	depression	#FC622F	0.613051930996508
e9dac232-2c60-37cc-92ec-da1f331f4397	Damasio H	12	4	experience	#FC622F	0.624048141830653
e9dac232-2c60-37cc-92ec-da1f331f4397	Damasio H	13	4	female	#FD913D	0.557244559598341
e9dac232-2c60-37cc-92ec-da1f331f4397	Damasio H	14	4	male	#FD913D	0.592201116537329
e9dac232-2c60-37cc-92ec-da1f331f4397	Damasio H	15	4	pictures	#FDAD4A	0.457857896783243
e9dac232-2c60-37cc-92ec-da1f331f4397	Damasio H	16	4		#FC622F	0.631722616929425
e9dac232-2c60-37cc-92ec-da1f331f4397	Damasio H	17	4	perception	#F03623	0.739336809678759
e9dac232-2c60-37cc-92ec-da1f331f4397	Damasio H	18	4		#FC622F	0.600934567330769
e9dac232-2c60-37cc-92ec-da1f331f4397	Damasio H	19	4		#FD913D	0.542986789719945
e9dac232-2c60-37cc-92ec-da1f331f4397	Damasio H	20	4		#FDAD4A	0.491565243229102
e9dac232-2c60-37cc-92ec-da1f331f4397	Damasio H	21	4	correct	#FECB68	0.353975557695556
e9dac232-2c60-37cc-92ec-da1f331f4397	Damasio H	22	4	work	#FECB68	0.337966528833705
e9dac232-2c60-37cc-92ec-da1f331f4397	Damasio H	23	4	memory	#FEE188	0.294824226053667
