UUID	AUTHOR	X	Y	TERMS	COLOR	SCORE
ef0c60fc-3322-3724-9ecb-47dc3c567eb5	Christoff K	1	1	auditory|speech	#FEE188	0.234474211573945
ef0c60fc-3322-3724-9ecb-47dc3c567eb5	Christoff K	2	1		#FEE188	0.216770483790303
ef0c60fc-3322-3724-9ecb-47dc3c567eb5	Christoff K	3	1	da|integration	#FECB68	0.329866794356855
ef0c60fc-3322-3724-9ecb-47dc3c567eb5	Christoff K	4	1		#FDAD4A	0.406316311477922
ef0c60fc-3322-3724-9ecb-47dc3c567eb5	Christoff K	5	1	physical|psychophysical|tactile	#FECB68	0.399575542913619
ef0c60fc-3322-3724-9ecb-47dc3c567eb5	Christoff K	6	1		#FDAD4A	0.402749308327231
ef0c60fc-3322-3724-9ecb-47dc3c567eb5	Christoff K	7	1	somatosensory|stimulation	#FEE188	0.217659820733335
ef0c60fc-3322-3724-9ecb-47dc3c567eb5	Christoff K	8	1	painful|pain	#FECB68	0.319320438992145
ef0c60fc-3322-3724-9ecb-47dc3c567eb5	Christoff K	9	1		#FDAD4A	0.403214849102782
ef0c60fc-3322-3724-9ecb-47dc3c567eb5	Christoff K	10	1	ratings	#FD913D	0.549864521752926
ef0c60fc-3322-3724-9ecb-47dc3c567eb5	Christoff K	11	1	affective|affect	#FDAD4A	0.452363762070938
ef0c60fc-3322-3724-9ecb-47dc3c567eb5	Christoff K	12	1	emotions	#FDAD4A	0.497984108311716
ef0c60fc-3322-3724-9ecb-47dc3c567eb5	Christoff K	13	1	expression|expressions|facial	#FEE188	0.292005123434682
ef0c60fc-3322-3724-9ecb-47dc3c567eb5	Christoff K	14	1		#FD913D	0.528757015481982
ef0c60fc-3322-3724-9ecb-47dc3c567eb5	Christoff K	15	1		#FD913D	0.53951139639145
ef0c60fc-3322-3724-9ecb-47dc3c567eb5	Christoff K	16	1	emotion|motion|neutral	#FDAD4A	0.458023849056811
ef0c60fc-3322-3724-9ecb-47dc3c567eb5	Christoff K	17	1	rating	#FDAD4A	0.48997421161822
ef0c60fc-3322-3724-9ecb-47dc3c567eb5	Christoff K	18	1	negative|positive	#FD913D	0.503129103834337
ef0c60fc-3322-3724-9ecb-47dc3c567eb5	Christoff K	19	1		#FD913D	0.525165798162663
ef0c60fc-3322-3724-9ecb-47dc3c567eb5	Christoff K	20	1	ear|order	#FD913D	0.522568258092014
ef0c60fc-3322-3724-9ecb-47dc3c567eb5	Christoff K	21	1	motor	#FFF1A9	0.185700872091074
ef0c60fc-3322-3724-9ecb-47dc3c567eb5	Christoff K	22	1	visual	#FDAD4A	0.426377194223838
ef0c60fc-3322-3724-9ecb-47dc3c567eb5	Christoff K	23	1	age|image|response	#FDAD4A	0.475241186652973
