UUID	AUTHOR	X	Y	TERMS	COLOR	SCORE
ef42528f-3c1c-3ee7-9265-d6e30d2a6a78	Zhang D	1	1	auditory|speech	#FEE188	0.286199945623773
ef42528f-3c1c-3ee7-9265-d6e30d2a6a78	Zhang D	2	1		#FEE188	0.250811730933512
ef42528f-3c1c-3ee7-9265-d6e30d2a6a78	Zhang D	3	1	da|integration	#FDAD4A	0.457706702477698
ef42528f-3c1c-3ee7-9265-d6e30d2a6a78	Zhang D	4	1		#FD913D	0.557767799857116
ef42528f-3c1c-3ee7-9265-d6e30d2a6a78	Zhang D	5	1	physical|psychophysical|tactile	#FC622F	0.648202358759077
ef42528f-3c1c-3ee7-9265-d6e30d2a6a78	Zhang D	6	1		#FC622F	0.674157003721728
ef42528f-3c1c-3ee7-9265-d6e30d2a6a78	Zhang D	7	1	somatosensory|stimulation	#FD913D	0.583084168474417
ef42528f-3c1c-3ee7-9265-d6e30d2a6a78	Zhang D	8	1	painful|pain	#FD913D	0.527098822924274
ef42528f-3c1c-3ee7-9265-d6e30d2a6a78	Zhang D	9	1		#FD913D	0.547240256580998
ef42528f-3c1c-3ee7-9265-d6e30d2a6a78	Zhang D	10	1	ratings	#FD913D	0.550924448264689
ef42528f-3c1c-3ee7-9265-d6e30d2a6a78	Zhang D	11	1	affective|affect	#FDAD4A	0.471743337178069
ef42528f-3c1c-3ee7-9265-d6e30d2a6a78	Zhang D	12	1	emotions	#FECB68	0.332744546985287
ef42528f-3c1c-3ee7-9265-d6e30d2a6a78	Zhang D	13	1	expression|expressions|facial	#FFF1A9	0.152486779220882
ef42528f-3c1c-3ee7-9265-d6e30d2a6a78	Zhang D	14	1		#FECB68	0.37423509612782
ef42528f-3c1c-3ee7-9265-d6e30d2a6a78	Zhang D	15	1		#FDAD4A	0.451616548748694
ef42528f-3c1c-3ee7-9265-d6e30d2a6a78	Zhang D	16	1	emotion|motion|neutral	#FDAD4A	0.467566408695123
ef42528f-3c1c-3ee7-9265-d6e30d2a6a78	Zhang D	17	1	rating	#FD913D	0.588496620888368
ef42528f-3c1c-3ee7-9265-d6e30d2a6a78	Zhang D	18	1	negative|positive	#FC622F	0.602235945757022
ef42528f-3c1c-3ee7-9265-d6e30d2a6a78	Zhang D	19	1		#F03623	0.770364978078834
ef42528f-3c1c-3ee7-9265-d6e30d2a6a78	Zhang D	20	1	ear|order	#F03623	0.799517646961746
