UUID	AUTHOR	X	Y	TERMS	COLOR	SCORE
f061857c-ef18-3294-8137-4bcb53258b48	Ruzicka E	1	1	auditory|speech	#FFFFCC	0.0413931950160766
f061857c-ef18-3294-8137-4bcb53258b48	Ruzicka E	2	1		#FFFFCC	0.0314146828010006
f061857c-ef18-3294-8137-4bcb53258b48	Ruzicka E	3	1	da|integration	#FFF1A9	0.180770609221533
f061857c-ef18-3294-8137-4bcb53258b48	Ruzicka E	4	1		#FFFFCC	0.0887788576033971
f061857c-ef18-3294-8137-4bcb53258b48	Ruzicka E	5	1	physical|psychophysical|tactile	#FFFFCC	0.098835042690857
f061857c-ef18-3294-8137-4bcb53258b48	Ruzicka E	6	1		#FFF1A9	0.186613681004004
f061857c-ef18-3294-8137-4bcb53258b48	Ruzicka E	7	1	somatosensory|stimulation	#FEE188	0.218707502826724
f061857c-ef18-3294-8137-4bcb53258b48	Ruzicka E	8	1	painful|pain	#FEE188	0.229893895513176
f061857c-ef18-3294-8137-4bcb53258b48	Ruzicka E	9	1		#FEE188	0.298251722726458
f061857c-ef18-3294-8137-4bcb53258b48	Ruzicka E	10	1	ratings	#FDAD4A	0.480390046932579
f061857c-ef18-3294-8137-4bcb53258b48	Ruzicka E	11	1	affective|affect	#FDAD4A	0.449095643971977
f061857c-ef18-3294-8137-4bcb53258b48	Ruzicka E	12	1	emotions	#FECB68	0.381709131085937
f061857c-ef18-3294-8137-4bcb53258b48	Ruzicka E	13	1	expression|expressions|facial	#FD913D	0.560984545561188
f061857c-ef18-3294-8137-4bcb53258b48	Ruzicka E	14	1		#FD913D	0.573601413279973
f061857c-ef18-3294-8137-4bcb53258b48	Ruzicka E	15	1		#FD913D	0.578221619283141
f061857c-ef18-3294-8137-4bcb53258b48	Ruzicka E	16	1	emotion|motion|neutral	#FD913D	0.598733838401344
f061857c-ef18-3294-8137-4bcb53258b48	Ruzicka E	17	1	rating	#FD913D	0.596774649523751
f061857c-ef18-3294-8137-4bcb53258b48	Ruzicka E	18	1	negative|positive	#FD913D	0.5908251670873
f061857c-ef18-3294-8137-4bcb53258b48	Ruzicka E	19	1		#FDAD4A	0.42759637162359
f061857c-ef18-3294-8137-4bcb53258b48	Ruzicka E	20	1	ear|order	#FEE188	0.282602031596849
f061857c-ef18-3294-8137-4bcb53258b48	Ruzicka E	21	1	motor	#FEE188	0.227320335089161
f061857c-ef18-3294-8137-4bcb53258b48	Ruzicka E	22	1	visual	#FFF1A9	0.156202936851103
f061857c-ef18-3294-8137-4bcb53258b48	Ruzicka E	23	1	age|image|response	#FECB68	0.323119540654867
f061857c-ef18-3294-8137-4bcb53258b48	Ruzicka E	1	2	sound|sounds	#FFFFCC	0.00959088478637469
f061857c-ef18-3294-8137-4bcb53258b48	Ruzicka E	2	2		#FFFFCC	0.0266022991552279
f061857c-ef18-3294-8137-4bcb53258b48	Ruzicka E	3	2	audiovisual|bimodal|crossmodal	#FFFFCC	0.0331926968602537
f061857c-ef18-3294-8137-4bcb53258b48	Ruzicka E	4	2		#FFFFCC	0.08502233613503
f061857c-ef18-3294-8137-4bcb53258b48	Ruzicka E	5	2		#FFF1A9	0.119829136324735
f061857c-ef18-3294-8137-4bcb53258b48	Ruzicka E	6	2		#FFF1A9	0.17768758112077
f061857c-ef18-3294-8137-4bcb53258b48	Ruzicka E	7	2	sensation	#FFF1A9	0.174405474661362
f061857c-ef18-3294-8137-4bcb53258b48	Ruzicka E	8	2	heat|noxious	#FEE188	0.281994735497678
