UUID	AUTHOR	X	Y	TERMS	COLOR	SCORE
f06830fc-7145-35dc-a5e6-ec567f960c4b	Tsuang MT	1	1	auditory|speech	#FFF1A9	0.110207805910241
f06830fc-7145-35dc-a5e6-ec567f960c4b	Tsuang MT	2	1		#FFF1A9	0.100487721517269
f06830fc-7145-35dc-a5e6-ec567f960c4b	Tsuang MT	3	1	da|integration	#FEE188	0.288477430693647
f06830fc-7145-35dc-a5e6-ec567f960c4b	Tsuang MT	4	1		#FECB68	0.392772630818385
f06830fc-7145-35dc-a5e6-ec567f960c4b	Tsuang MT	5	1	physical|psychophysical|tactile	#FD913D	0.507977543595169
f06830fc-7145-35dc-a5e6-ec567f960c4b	Tsuang MT	6	1		#FD913D	0.553085109106201
f06830fc-7145-35dc-a5e6-ec567f960c4b	Tsuang MT	7	1	somatosensory|stimulation	#FDAD4A	0.488740934486296
f06830fc-7145-35dc-a5e6-ec567f960c4b	Tsuang MT	8	1	painful|pain	#FD913D	0.533702802563501
f06830fc-7145-35dc-a5e6-ec567f960c4b	Tsuang MT	9	1		#FD913D	0.599036003758804
f06830fc-7145-35dc-a5e6-ec567f960c4b	Tsuang MT	10	1	ratings	#F03623	0.794762450131086
f06830fc-7145-35dc-a5e6-ec567f960c4b	Tsuang MT	11	1	affective|affect	#D7141E	0.897336551103483
f06830fc-7145-35dc-a5e6-ec567f960c4b	Tsuang MT	12	1	emotions	#F03623	0.775580056603915
f06830fc-7145-35dc-a5e6-ec567f960c4b	Tsuang MT	13	1	expression|expressions|facial	#F03623	0.72145148370413
f06830fc-7145-35dc-a5e6-ec567f960c4b	Tsuang MT	14	1		#F03623	0.784712796380113
f06830fc-7145-35dc-a5e6-ec567f960c4b	Tsuang MT	15	1		#F03623	0.792057021416506
f06830fc-7145-35dc-a5e6-ec567f960c4b	Tsuang MT	16	1	emotion|motion|neutral	#F03623	0.785161326012323
f06830fc-7145-35dc-a5e6-ec567f960c4b	Tsuang MT	17	1	rating	#D7141E	0.805105070082449
f06830fc-7145-35dc-a5e6-ec567f960c4b	Tsuang MT	18	1	negative|positive	#F03623	0.720596554477593
f06830fc-7145-35dc-a5e6-ec567f960c4b	Tsuang MT	19	1		#FC622F	0.637759742093713
f06830fc-7145-35dc-a5e6-ec567f960c4b	Tsuang MT	20	1	ear|order	#FD913D	0.53703204645933
f06830fc-7145-35dc-a5e6-ec567f960c4b	Tsuang MT	21	1	motor	#FECB68	0.398981075263852
f06830fc-7145-35dc-a5e6-ec567f960c4b	Tsuang MT	22	1	visual	#FECB68	0.323278732506252
f06830fc-7145-35dc-a5e6-ec567f960c4b	Tsuang MT	23	1	age|image|response	#FDAD4A	0.48593329820101
f06830fc-7145-35dc-a5e6-ec567f960c4b	Tsuang MT	1	2	sound|sounds	#FFFFCC	0.0445842485133327
f06830fc-7145-35dc-a5e6-ec567f960c4b	Tsuang MT	2	2		#FFFFCC	0.0833453785281474
f06830fc-7145-35dc-a5e6-ec567f960c4b	Tsuang MT	3	2	audiovisual|bimodal|crossmodal	#FFFFCC	0.0433709519106489
f06830fc-7145-35dc-a5e6-ec567f960c4b	Tsuang MT	4	2		#FECB68	0.39305309226821
f06830fc-7145-35dc-a5e6-ec567f960c4b	Tsuang MT	5	2		#FD913D	0.502723691970857
f06830fc-7145-35dc-a5e6-ec567f960c4b	Tsuang MT	6	2		#FD913D	0.560723035280304
f06830fc-7145-35dc-a5e6-ec567f960c4b	Tsuang MT	7	2	sensation	#FDAD4A	0.449340378453354
f06830fc-7145-35dc-a5e6-ec567f960c4b	Tsuang MT	8	2	heat|noxious	#FECB68	0.32163898887753
f06830fc-7145-35dc-a5e6-ec567f960c4b	Tsuang MT	9	2		#FC622F	0.602415128543068
f06830fc-7145-35dc-a5e6-ec567f960c4b	Tsuang MT	10	2		#D7141E	0.859123624088744
f06830fc-7145-35dc-a5e6-ec567f960c4b	Tsuang MT	11	2		#D7141E	0.878460159726235
f06830fc-7145-35dc-a5e6-ec567f960c4b	Tsuang MT	12	2	valence	#D7141E	0.816314911258048
f06830fc-7145-35dc-a5e6-ec567f960c4b	Tsuang MT	13	2	person|social	#FC622F	0.621133229568563
f06830fc-7145-35dc-a5e6-ec567f960c4b	Tsuang MT	14	2		#F03623	0.782163512562112
f06830fc-7145-35dc-a5e6-ec567f960c4b	Tsuang MT	15	2	face|faces	#FD913D	0.569543378558766
f06830fc-7145-35dc-a5e6-ec567f960c4b	Tsuang MT	16	2		#F03623	0.774300058760119
f06830fc-7145-35dc-a5e6-ec567f960c4b	Tsuang MT	17	2		#F03623	0.786096234170642
f06830fc-7145-35dc-a5e6-ec567f960c4b	Tsuang MT	18	2		#F03623	0.719581290031693
f06830fc-7145-35dc-a5e6-ec567f960c4b	Tsuang MT	19	2		#FC622F	0.626981346023406
f06830fc-7145-35dc-a5e6-ec567f960c4b	Tsuang MT	20	2		#FD913D	0.512288691907805
f06830fc-7145-35dc-a5e6-ec567f960c4b	Tsuang MT	21	2	images|spatial	#FDAD4A	0.467159624782792
f06830fc-7145-35dc-a5e6-ec567f960c4b	Tsuang MT	22	2	control	#FD913D	0.505264486893507
f06830fc-7145-35dc-a5e6-ec567f960c4b	Tsuang MT	23	2	time	#FDAD4A	0.478015460969328
f06830fc-7145-35dc-a5e6-ec567f960c4b	Tsuang MT	1	3	acoustic|listening|musical|music|pitch	#FFFFCC	0
f06830fc-7145-35dc-a5e6-ec567f960c4b	Tsuang MT	2	3	noise|tones	#FFFFCC	0.0735519664801939
f06830fc-7145-35dc-a5e6-ec567f960c4b	Tsuang MT	3	3		#FFF1A9	0.182450567445315
f06830fc-7145-35dc-a5e6-ec567f960c4b	Tsuang MT	4	3		#FEE188	0.272037726020009
f06830fc-7145-35dc-a5e6-ec567f960c4b	Tsuang MT	5	3	frequency	#FDAD4A	0.426618839792563
f06830fc-7145-35dc-a5e6-ec567f960c4b	Tsuang MT	6	3		#FDAD4A	0.461031314723922
f06830fc-7145-35dc-a5e6-ec567f960c4b	Tsuang MT	7	3		#FDAD4A	0.489931097361591
f06830fc-7145-35dc-a5e6-ec567f960c4b	Tsuang MT	8	3	temperature	#FECB68	0.355866864245888
f06830fc-7145-35dc-a5e6-ec567f960c4b	Tsuang MT	9	3		#FD913D	0.589574562202948
