UUID	AUTHOR	X	Y	TERMS	COLOR	SCORE
f388b902-40d5-3a6e-8f86-24f922c8bc55	Weiskopf N	1	1	auditory|speech	#FEE188	0.295754232742232
f388b902-40d5-3a6e-8f86-24f922c8bc55	Weiskopf N	2	1		#FEE188	0.238684388752177
f388b902-40d5-3a6e-8f86-24f922c8bc55	Weiskopf N	3	1	da|integration	#FDAD4A	0.41638712729906
f388b902-40d5-3a6e-8f86-24f922c8bc55	Weiskopf N	4	1		#FECB68	0.346958324686698
f388b902-40d5-3a6e-8f86-24f922c8bc55	Weiskopf N	5	1	physical|psychophysical|tactile	#FEE188	0.254971477139516
f388b902-40d5-3a6e-8f86-24f922c8bc55	Weiskopf N	6	1		#FDAD4A	0.401570819727241
f388b902-40d5-3a6e-8f86-24f922c8bc55	Weiskopf N	7	1	somatosensory|stimulation	#FDAD4A	0.409467949375278
f388b902-40d5-3a6e-8f86-24f922c8bc55	Weiskopf N	8	1	painful|pain	#FECB68	0.388093525546293
f388b902-40d5-3a6e-8f86-24f922c8bc55	Weiskopf N	9	1		#FD913D	0.531364535123672
f388b902-40d5-3a6e-8f86-24f922c8bc55	Weiskopf N	10	1	ratings	#D7141E	0.857935474855652
f388b902-40d5-3a6e-8f86-24f922c8bc55	Weiskopf N	11	1	affective|affect	#B10026	0.958493404359708
f388b902-40d5-3a6e-8f86-24f922c8bc55	Weiskopf N	12	1	emotions	#B10026	0.942897104893726
f388b902-40d5-3a6e-8f86-24f922c8bc55	Weiskopf N	13	1	expression|expressions|facial	#D7141E	0.847019176989072
f388b902-40d5-3a6e-8f86-24f922c8bc55	Weiskopf N	14	1		#D7141E	0.864449296154119
f388b902-40d5-3a6e-8f86-24f922c8bc55	Weiskopf N	15	1		#D7141E	0.854126161747996
f388b902-40d5-3a6e-8f86-24f922c8bc55	Weiskopf N	16	1	emotion|motion|neutral	#D7141E	0.837120047872776
f388b902-40d5-3a6e-8f86-24f922c8bc55	Weiskopf N	17	1	rating	#D7141E	0.813074568638083
f388b902-40d5-3a6e-8f86-24f922c8bc55	Weiskopf N	18	1	negative|positive	#F03623	0.741141004022408
f388b902-40d5-3a6e-8f86-24f922c8bc55	Weiskopf N	19	1		#FC622F	0.67856387139932
f388b902-40d5-3a6e-8f86-24f922c8bc55	Weiskopf N	20	1	ear|order	#FD913D	0.58299572865269
f388b902-40d5-3a6e-8f86-24f922c8bc55	Weiskopf N	21	1	motor	#FDAD4A	0.437171269381531
f388b902-40d5-3a6e-8f86-24f922c8bc55	Weiskopf N	22	1	visual	#FECB68	0.335427083512619
f388b902-40d5-3a6e-8f86-24f922c8bc55	Weiskopf N	23	1	age|image|response	#FD913D	0.502147643917351
f388b902-40d5-3a6e-8f86-24f922c8bc55	Weiskopf N	1	2	sound|sounds	#FFF1A9	0.141009834347246
f388b902-40d5-3a6e-8f86-24f922c8bc55	Weiskopf N	2	2		#FEE188	0.215447018849676
f388b902-40d5-3a6e-8f86-24f922c8bc55	Weiskopf N	3	2	audiovisual|bimodal|crossmodal	#FFFFCC	0.0548781571761492
f388b902-40d5-3a6e-8f86-24f922c8bc55	Weiskopf N	4	2		#FECB68	0.361075510996361
f388b902-40d5-3a6e-8f86-24f922c8bc55	Weiskopf N	5	2		#FECB68	0.396730901635545
f388b902-40d5-3a6e-8f86-24f922c8bc55	Weiskopf N	6	2		#FDAD4A	0.423827207046228
f388b902-40d5-3a6e-8f86-24f922c8bc55	Weiskopf N	7	2	sensation	#FECB68	0.328508442134335
f388b902-40d5-3a6e-8f86-24f922c8bc55	Weiskopf N	8	2	heat|noxious	#FEE188	0.264320071799581
f388b902-40d5-3a6e-8f86-24f922c8bc55	Weiskopf N	9	2		#FD913D	0.582208829213084
f388b902-40d5-3a6e-8f86-24f922c8bc55	Weiskopf N	10	2		#B10026	0.960938038557598
f388b902-40d5-3a6e-8f86-24f922c8bc55	Weiskopf N	11	2		#B10026	1
f388b902-40d5-3a6e-8f86-24f922c8bc55	Weiskopf N	12	2	valence	#B10026	0.922470688496783
f388b902-40d5-3a6e-8f86-24f922c8bc55	Weiskopf N	13	2	person|social	#FC622F	0.640187150682022
f388b902-40d5-3a6e-8f86-24f922c8bc55	Weiskopf N	14	2		#D7141E	0.863575713908254
f388b902-40d5-3a6e-8f86-24f922c8bc55	Weiskopf N	15	2	face|faces	#FC622F	0.626849457871944
f388b902-40d5-3a6e-8f86-24f922c8bc55	Weiskopf N	16	2		#D7141E	0.826824050569378
f388b902-40d5-3a6e-8f86-24f922c8bc55	Weiskopf N	17	2		#D7141E	0.824448661260832
f388b902-40d5-3a6e-8f86-24f922c8bc55	Weiskopf N	18	2		#F03623	0.747308288986745
f388b902-40d5-3a6e-8f86-24f922c8bc55	Weiskopf N	19	2		#FC622F	0.653896367965192
f388b902-40d5-3a6e-8f86-24f922c8bc55	Weiskopf N	20	2		#FD913D	0.53111889927712
f388b902-40d5-3a6e-8f86-24f922c8bc55	Weiskopf N	21	2	images|spatial	#FDAD4A	0.458050801588119
f388b902-40d5-3a6e-8f86-24f922c8bc55	Weiskopf N	22	2	control	#FD913D	0.503335054324366
f388b902-40d5-3a6e-8f86-24f922c8bc55	Weiskopf N	23	2	time	#FDAD4A	0.479752202790379
f388b902-40d5-3a6e-8f86-24f922c8bc55	Weiskopf N	1	3	acoustic|listening|musical|music|pitch	#FFF1A9	0.127929016710954
f388b902-40d5-3a6e-8f86-24f922c8bc55	Weiskopf N	2	3	noise|tones	#FFF1A9	0.131071025698552
