UUID	AUTHOR	X	Y	TERMS	COLOR	SCORE
f3a8793b-ea14-3df1-bde9-85457d27c73d	Rueschemeyer SA	1	1	auditory|speech	#F03623	0.730241518697058
f3a8793b-ea14-3df1-bde9-85457d27c73d	Rueschemeyer SA	2	1		#FC622F	0.684426237483397
f3a8793b-ea14-3df1-bde9-85457d27c73d	Rueschemeyer SA	3	1	da|integration	#D7141E	0.854952936558366
f3a8793b-ea14-3df1-bde9-85457d27c73d	Rueschemeyer SA	4	1		#F03623	0.717383856881787
f3a8793b-ea14-3df1-bde9-85457d27c73d	Rueschemeyer SA	5	1	physical|psychophysical|tactile	#FECB68	0.323270407895815
f3a8793b-ea14-3df1-bde9-85457d27c73d	Rueschemeyer SA	6	1		#FECB68	0.355249481699504
f3a8793b-ea14-3df1-bde9-85457d27c73d	Rueschemeyer SA	7	1	somatosensory|stimulation	#FECB68	0.303788601248474
f3a8793b-ea14-3df1-bde9-85457d27c73d	Rueschemeyer SA	8	1	painful|pain	#FFF1A9	0.122746392322568
f3a8793b-ea14-3df1-bde9-85457d27c73d	Rueschemeyer SA	9	1		#FFF1A9	0.182347218930103
f3a8793b-ea14-3df1-bde9-85457d27c73d	Rueschemeyer SA	10	1	ratings	#FEE188	0.291869441466391
f3a8793b-ea14-3df1-bde9-85457d27c73d	Rueschemeyer SA	11	1	affective|affect	#FECB68	0.299850513416331
f3a8793b-ea14-3df1-bde9-85457d27c73d	Rueschemeyer SA	12	1	emotions	#FECB68	0.32941167505165
f3a8793b-ea14-3df1-bde9-85457d27c73d	Rueschemeyer SA	13	1	expression|expressions|facial	#FEE188	0.291678372866603
f3a8793b-ea14-3df1-bde9-85457d27c73d	Rueschemeyer SA	14	1		#FDAD4A	0.45407229280044
f3a8793b-ea14-3df1-bde9-85457d27c73d	Rueschemeyer SA	15	1		#FDAD4A	0.470713647483574
f3a8793b-ea14-3df1-bde9-85457d27c73d	Rueschemeyer SA	16	1	emotion|motion|neutral	#FDAD4A	0.403252816049114
