UUID	AUTHOR	X	Y	TERMS	COLOR	SCORE
f3e2f7f9-3713-3d4e-8900-c528fe087fb8	Barnow S	1	1	auditory|speech	#FFF1A9	0.187860918453185
f3e2f7f9-3713-3d4e-8900-c528fe087fb8	Barnow S	2	1		#FFF1A9	0.152729294034933
f3e2f7f9-3713-3d4e-8900-c528fe087fb8	Barnow S	3	1	da|integration	#FEE188	0.203531327098219
f3e2f7f9-3713-3d4e-8900-c528fe087fb8	Barnow S	4	1		#FFF1A9	0.191004651439998
f3e2f7f9-3713-3d4e-8900-c528fe087fb8	Barnow S	5	1	physical|psychophysical|tactile	#FFF1A9	0.119782403910521
f3e2f7f9-3713-3d4e-8900-c528fe087fb8	Barnow S	6	1		#FEE188	0.242998082165129
f3e2f7f9-3713-3d4e-8900-c528fe087fb8	Barnow S	7	1	somatosensory|stimulation	#FEE188	0.205255758703861
f3e2f7f9-3713-3d4e-8900-c528fe087fb8	Barnow S	8	1	painful|pain	#FEE188	0.297382780582201
f3e2f7f9-3713-3d4e-8900-c528fe087fb8	Barnow S	9	1		#FECB68	0.398038287688894
f3e2f7f9-3713-3d4e-8900-c528fe087fb8	Barnow S	10	1	ratings	#FC622F	0.603754729924798
f3e2f7f9-3713-3d4e-8900-c528fe087fb8	Barnow S	11	1	affective|affect	#FD913D	0.552261398515968
f3e2f7f9-3713-3d4e-8900-c528fe087fb8	Barnow S	12	1	emotions	#FD913D	0.529626495928441
f3e2f7f9-3713-3d4e-8900-c528fe087fb8	Barnow S	13	1	expression|expressions|facial	#FECB68	0.322577788887253
f3e2f7f9-3713-3d4e-8900-c528fe087fb8	Barnow S	14	1		#FDAD4A	0.495725613111301
f3e2f7f9-3713-3d4e-8900-c528fe087fb8	Barnow S	15	1		#FD913D	0.50848302407987
f3e2f7f9-3713-3d4e-8900-c528fe087fb8	Barnow S	16	1	emotion|motion|neutral	#FD913D	0.530200725641279
f3e2f7f9-3713-3d4e-8900-c528fe087fb8	Barnow S	17	1	rating	#FC622F	0.617925989283022
f3e2f7f9-3713-3d4e-8900-c528fe087fb8	Barnow S	18	1	negative|positive	#FD913D	0.513685590641526
f3e2f7f9-3713-3d4e-8900-c528fe087fb8	Barnow S	19	1		#FECB68	0.39602531893681
f3e2f7f9-3713-3d4e-8900-c528fe087fb8	Barnow S	20	1	ear|order	#FECB68	0.311816962258196
f3e2f7f9-3713-3d4e-8900-c528fe087fb8	Barnow S	21	1	motor	#FFF1A9	0.132298010453331
f3e2f7f9-3713-3d4e-8900-c528fe087fb8	Barnow S	22	1	visual	#FFF1A9	0.114906388856154
f3e2f7f9-3713-3d4e-8900-c528fe087fb8	Barnow S	23	1	age|image|response	#FEE188	0.276667164877928
f3e2f7f9-3713-3d4e-8900-c528fe087fb8	Barnow S	1	2	sound|sounds	#FFF1A9	0.104878466154392
f3e2f7f9-3713-3d4e-8900-c528fe087fb8	Barnow S	2	2		#FFF1A9	0.142935271964862
f3e2f7f9-3713-3d4e-8900-c528fe087fb8	Barnow S	3	2	audiovisual|bimodal|crossmodal	#FFFFCC	0.0364015950308856
f3e2f7f9-3713-3d4e-8900-c528fe087fb8	Barnow S	4	2		#FFF1A9	0.18518306834494
f3e2f7f9-3713-3d4e-8900-c528fe087fb8	Barnow S	5	2		#FFF1A9	0.184268652611289
f3e2f7f9-3713-3d4e-8900-c528fe087fb8	Barnow S	6	2		#FEE188	0.236710844227638
f3e2f7f9-3713-3d4e-8900-c528fe087fb8	Barnow S	7	2	sensation	#FEE188	0.293199078491383
f3e2f7f9-3713-3d4e-8900-c528fe087fb8	Barnow S	8	2	heat|noxious	#FECB68	0.314179220867853
f3e2f7f9-3713-3d4e-8900-c528fe087fb8	Barnow S	9	2		#FDAD4A	0.412860502183403
