UUID	AUTHOR	X	Y	TERMS	COLOR	SCORE
f676e0dd-8dbf-362e-a2d1-eb70587cd289	Bodfish JW	1	1	auditory|speech	#FFF1A9	0.177848364139435
f676e0dd-8dbf-362e-a2d1-eb70587cd289	Bodfish JW	2	1		#FFF1A9	0.163646690783888
f676e0dd-8dbf-362e-a2d1-eb70587cd289	Bodfish JW	3	1	da|integration	#FECB68	0.303383313977624
f676e0dd-8dbf-362e-a2d1-eb70587cd289	Bodfish JW	4	1		#FECB68	0.322150723369192
f676e0dd-8dbf-362e-a2d1-eb70587cd289	Bodfish JW	5	1	physical|psychophysical|tactile	#FECB68	0.348313490954441
f676e0dd-8dbf-362e-a2d1-eb70587cd289	Bodfish JW	6	1		#FDAD4A	0.482771179237675
f676e0dd-8dbf-362e-a2d1-eb70587cd289	Bodfish JW	7	1	somatosensory|stimulation	#FDAD4A	0.424742559561887
f676e0dd-8dbf-362e-a2d1-eb70587cd289	Bodfish JW	8	1	painful|pain	#FD913D	0.576942703717839
f676e0dd-8dbf-362e-a2d1-eb70587cd289	Bodfish JW	9	1		#FC622F	0.674438047275788
f676e0dd-8dbf-362e-a2d1-eb70587cd289	Bodfish JW	10	1	ratings	#D7141E	0.872859244204223
f676e0dd-8dbf-362e-a2d1-eb70587cd289	Bodfish JW	11	1	affective|affect	#D7141E	0.88114464695603
f676e0dd-8dbf-362e-a2d1-eb70587cd289	Bodfish JW	12	1	emotions	#B10026	0.92837318118975
f676e0dd-8dbf-362e-a2d1-eb70587cd289	Bodfish JW	13	1	expression|expressions|facial	#F03623	0.725659811050907
f676e0dd-8dbf-362e-a2d1-eb70587cd289	Bodfish JW	14	1		#D7141E	0.81898272031388
f676e0dd-8dbf-362e-a2d1-eb70587cd289	Bodfish JW	15	1		#D7141E	0.830351071929951
f676e0dd-8dbf-362e-a2d1-eb70587cd289	Bodfish JW	16	1	emotion|motion|neutral	#D7141E	0.831347284482561
f676e0dd-8dbf-362e-a2d1-eb70587cd289	Bodfish JW	17	1	rating	#F03623	0.795932280939212
f676e0dd-8dbf-362e-a2d1-eb70587cd289	Bodfish JW	18	1	negative|positive	#FC622F	0.655421953045282
f676e0dd-8dbf-362e-a2d1-eb70587cd289	Bodfish JW	19	1		#FD913D	0.552330594752282
f676e0dd-8dbf-362e-a2d1-eb70587cd289	Bodfish JW	20	1	ear|order	#FDAD4A	0.449908017418774
f676e0dd-8dbf-362e-a2d1-eb70587cd289	Bodfish JW	21	1	motor	#FECB68	0.308318496581376
f676e0dd-8dbf-362e-a2d1-eb70587cd289	Bodfish JW	22	1	visual	#FECB68	0.318173794172853
f676e0dd-8dbf-362e-a2d1-eb70587cd289	Bodfish JW	23	1	age|image|response	#FDAD4A	0.441026057963893
f676e0dd-8dbf-362e-a2d1-eb70587cd289	Bodfish JW	1	2	sound|sounds	#FFF1A9	0.116377325112219
f676e0dd-8dbf-362e-a2d1-eb70587cd289	Bodfish JW	2	2		#FFF1A9	0.152300577380811
f676e0dd-8dbf-362e-a2d1-eb70587cd289	Bodfish JW	3	2	audiovisual|bimodal|crossmodal	#FFF1A9	0.128098003692336
f676e0dd-8dbf-362e-a2d1-eb70587cd289	Bodfish JW	4	2		#FECB68	0.318094145745115
f676e0dd-8dbf-362e-a2d1-eb70587cd289	Bodfish JW	5	2		#FECB68	0.371414335884965
f676e0dd-8dbf-362e-a2d1-eb70587cd289	Bodfish JW	6	2		#FDAD4A	0.470673718579309
f676e0dd-8dbf-362e-a2d1-eb70587cd289	Bodfish JW	7	2	sensation	#FD913D	0.500207835937094
f676e0dd-8dbf-362e-a2d1-eb70587cd289	Bodfish JW	8	2	heat|noxious	#FD913D	0.503273416055044
f676e0dd-8dbf-362e-a2d1-eb70587cd289	Bodfish JW	9	2		#F03623	0.72760536215686
f676e0dd-8dbf-362e-a2d1-eb70587cd289	Bodfish JW	10	2		#B10026	0.966216021085769
f676e0dd-8dbf-362e-a2d1-eb70587cd289	Bodfish JW	11	2		#B10026	0.978551880354888
f676e0dd-8dbf-362e-a2d1-eb70587cd289	Bodfish JW	12	2	valence	#B10026	0.959268849029044
f676e0dd-8dbf-362e-a2d1-eb70587cd289	Bodfish JW	13	2	person|social	#F03623	0.74150173878757
f676e0dd-8dbf-362e-a2d1-eb70587cd289	Bodfish JW	14	2		#D7141E	0.823422816137529
f676e0dd-8dbf-362e-a2d1-eb70587cd289	Bodfish JW	15	2	face|faces	#FC622F	0.63306278142363
f676e0dd-8dbf-362e-a2d1-eb70587cd289	Bodfish JW	16	2		#F03623	0.797538179594565
f676e0dd-8dbf-362e-a2d1-eb70587cd289	Bodfish JW	17	2		#F03623	0.761830894097771
f676e0dd-8dbf-362e-a2d1-eb70587cd289	Bodfish JW	18	2		#FC622F	0.64318354309196
f676e0dd-8dbf-362e-a2d1-eb70587cd289	Bodfish JW	19	2		#FD913D	0.525770229263004
