UUID	AUTHOR	X	Y	TERMS	COLOR	SCORE
f6ce50f4-b87d-3765-ab16-0cbd3dfd9fad	Jackowski AP	1	1	auditory|speech	#FECB68	0.363938753495695
f6ce50f4-b87d-3765-ab16-0cbd3dfd9fad	Jackowski AP	2	1		#FEE188	0.233863849114812
f6ce50f4-b87d-3765-ab16-0cbd3dfd9fad	Jackowski AP	3	1	da|integration	#FEE188	0.204426040224481
f6ce50f4-b87d-3765-ab16-0cbd3dfd9fad	Jackowski AP	4	1		#FDAD4A	0.405704912548391
f6ce50f4-b87d-3765-ab16-0cbd3dfd9fad	Jackowski AP	5	1	physical|psychophysical|tactile	#FD913D	0.515799288287391
f6ce50f4-b87d-3765-ab16-0cbd3dfd9fad	Jackowski AP	6	1		#FDAD4A	0.49691832189981
f6ce50f4-b87d-3765-ab16-0cbd3dfd9fad	Jackowski AP	7	1	somatosensory|stimulation	#FECB68	0.365122921863719
f6ce50f4-b87d-3765-ab16-0cbd3dfd9fad	Jackowski AP	8	1	painful|pain	#FDAD4A	0.411251443631731
f6ce50f4-b87d-3765-ab16-0cbd3dfd9fad	Jackowski AP	9	1		#FECB68	0.396245538732069
f6ce50f4-b87d-3765-ab16-0cbd3dfd9fad	Jackowski AP	10	1	ratings	#FFF1A9	0.194061207685865
f6ce50f4-b87d-3765-ab16-0cbd3dfd9fad	Jackowski AP	11	1	affective|affect	#FFF1A9	0.114581412686146
f6ce50f4-b87d-3765-ab16-0cbd3dfd9fad	Jackowski AP	12	1	emotions	#FECB68	0.304322909577575
f6ce50f4-b87d-3765-ab16-0cbd3dfd9fad	Jackowski AP	13	1	expression|expressions|facial	#FEE188	0.229823819275799
f6ce50f4-b87d-3765-ab16-0cbd3dfd9fad	Jackowski AP	14	1		#FEE188	0.258327918938533
f6ce50f4-b87d-3765-ab16-0cbd3dfd9fad	Jackowski AP	15	1		#FEE188	0.283579327948793
f6ce50f4-b87d-3765-ab16-0cbd3dfd9fad	Jackowski AP	16	1	emotion|motion|neutral	#FEE188	0.261301375796293
f6ce50f4-b87d-3765-ab16-0cbd3dfd9fad	Jackowski AP	17	1	rating	#FEE188	0.241294476468478
f6ce50f4-b87d-3765-ab16-0cbd3dfd9fad	Jackowski AP	18	1	negative|positive	#FECB68	0.337480419831547
f6ce50f4-b87d-3765-ab16-0cbd3dfd9fad	Jackowski AP	19	1		#FDAD4A	0.420035000305781
f6ce50f4-b87d-3765-ab16-0cbd3dfd9fad	Jackowski AP	20	1	ear|order	#FDAD4A	0.414756843245396
f6ce50f4-b87d-3765-ab16-0cbd3dfd9fad	Jackowski AP	21	1	motor	#FDAD4A	0.425977270164352
f6ce50f4-b87d-3765-ab16-0cbd3dfd9fad	Jackowski AP	22	1	visual	#FDAD4A	0.415962386819111
f6ce50f4-b87d-3765-ab16-0cbd3dfd9fad	Jackowski AP	23	1	age|image|response	#FDAD4A	0.45774623951199
f6ce50f4-b87d-3765-ab16-0cbd3dfd9fad	Jackowski AP	1	2	sound|sounds	#FFF1A9	0.14462676216072
f6ce50f4-b87d-3765-ab16-0cbd3dfd9fad	Jackowski AP	2	2		#FEE188	0.206003121440679
f6ce50f4-b87d-3765-ab16-0cbd3dfd9fad	Jackowski AP	3	2	audiovisual|bimodal|crossmodal	#FEE188	0.24434312710685
f6ce50f4-b87d-3765-ab16-0cbd3dfd9fad	Jackowski AP	4	2		#FECB68	0.375424125812097
f6ce50f4-b87d-3765-ab16-0cbd3dfd9fad	Jackowski AP	5	2		#FDAD4A	0.458450985191871
f6ce50f4-b87d-3765-ab16-0cbd3dfd9fad	Jackowski AP	6	2		#FDAD4A	0.473499722243742
f6ce50f4-b87d-3765-ab16-0cbd3dfd9fad	Jackowski AP	7	2	sensation	#FDAD4A	0.404797839619558
f6ce50f4-b87d-3765-ab16-0cbd3dfd9fad	Jackowski AP	8	2	heat|noxious	#FDAD4A	0.42002280733417
f6ce50f4-b87d-3765-ab16-0cbd3dfd9fad	Jackowski AP	9	2		#FDAD4A	0.401936111838517
f6ce50f4-b87d-3765-ab16-0cbd3dfd9fad	Jackowski AP	10	2		#FEE188	0.26625973615294
f6ce50f4-b87d-3765-ab16-0cbd3dfd9fad	Jackowski AP	11	2		#FEE188	0.23262439537401
f6ce50f4-b87d-3765-ab16-0cbd3dfd9fad	Jackowski AP	12	2	valence	#FFF1A9	0.166220142623821
f6ce50f4-b87d-3765-ab16-0cbd3dfd9fad	Jackowski AP	13	2	person|social	#FFF1A9	0.189489636593468
f6ce50f4-b87d-3765-ab16-0cbd3dfd9fad	Jackowski AP	14	2		#FEE188	0.256754592021664
f6ce50f4-b87d-3765-ab16-0cbd3dfd9fad	Jackowski AP	15	2	face|faces	#FECB68	0.329554776001646
f6ce50f4-b87d-3765-ab16-0cbd3dfd9fad	Jackowski AP	16	2		#FEE188	0.293141923348261
f6ce50f4-b87d-3765-ab16-0cbd3dfd9fad	Jackowski AP	17	2		#FECB68	0.313166316905374
f6ce50f4-b87d-3765-ab16-0cbd3dfd9fad	Jackowski AP	18	2		#FECB68	0.369713280912807
f6ce50f4-b87d-3765-ab16-0cbd3dfd9fad	Jackowski AP	19	2		#FDAD4A	0.428899488920688
f6ce50f4-b87d-3765-ab16-0cbd3dfd9fad	Jackowski AP	20	2		#FDAD4A	0.483292360541842
