UUID	AUTHOR	X	Y	TERMS	COLOR	SCORE
f6ecf58e-8b00-3d32-b5db-8cd19be52de9	Guariglia C	1	1	auditory|speech	#FFF1A9	0.19486580625672
f6ecf58e-8b00-3d32-b5db-8cd19be52de9	Guariglia C	2	1		#FFF1A9	0.181769809128981
f6ecf58e-8b00-3d32-b5db-8cd19be52de9	Guariglia C	3	1	da|integration	#FDAD4A	0.453232911558593
f6ecf58e-8b00-3d32-b5db-8cd19be52de9	Guariglia C	4	1		#FDAD4A	0.420234263003065
f6ecf58e-8b00-3d32-b5db-8cd19be52de9	Guariglia C	5	1	physical|psychophysical|tactile	#FDAD4A	0.406171436908873
f6ecf58e-8b00-3d32-b5db-8cd19be52de9	Guariglia C	6	1		#FECB68	0.332687953406766
f6ecf58e-8b00-3d32-b5db-8cd19be52de9	Guariglia C	7	1	somatosensory|stimulation	#FEE188	0.200239274216871
f6ecf58e-8b00-3d32-b5db-8cd19be52de9	Guariglia C	8	1	painful|pain	#FFF1A9	0.122941096342198
f6ecf58e-8b00-3d32-b5db-8cd19be52de9	Guariglia C	9	1		#FFF1A9	0.178272779130937
f6ecf58e-8b00-3d32-b5db-8cd19be52de9	Guariglia C	10	1	ratings	#FEE188	0.276096344265662
f6ecf58e-8b00-3d32-b5db-8cd19be52de9	Guariglia C	11	1	affective|affect	#FECB68	0.32618112598638
f6ecf58e-8b00-3d32-b5db-8cd19be52de9	Guariglia C	12	1	emotions	#FEE188	0.252302155946319
f6ecf58e-8b00-3d32-b5db-8cd19be52de9	Guariglia C	13	1	expression|expressions|facial	#FEE188	0.22454442890086
f6ecf58e-8b00-3d32-b5db-8cd19be52de9	Guariglia C	14	1		#FDAD4A	0.420974726790204
f6ecf58e-8b00-3d32-b5db-8cd19be52de9	Guariglia C	15	1		#FDAD4A	0.443682752668862
f6ecf58e-8b00-3d32-b5db-8cd19be52de9	Guariglia C	16	1	emotion|motion|neutral	#FECB68	0.378196952889089
f6ecf58e-8b00-3d32-b5db-8cd19be52de9	Guariglia C	17	1	rating	#FECB68	0.325103497221017
f6ecf58e-8b00-3d32-b5db-8cd19be52de9	Guariglia C	18	1	negative|positive	#FDAD4A	0.465036579121015
f6ecf58e-8b00-3d32-b5db-8cd19be52de9	Guariglia C	19	1		#FC622F	0.628891222202862
f6ecf58e-8b00-3d32-b5db-8cd19be52de9	Guariglia C	20	1	ear|order	#FC622F	0.611475700490819
f6ecf58e-8b00-3d32-b5db-8cd19be52de9	Guariglia C	21	1	motor	#FDAD4A	0.488887656223716
f6ecf58e-8b00-3d32-b5db-8cd19be52de9	Guariglia C	22	1	visual	#FC622F	0.699495820608938
f6ecf58e-8b00-3d32-b5db-8cd19be52de9	Guariglia C	23	1	age|image|response	#FD913D	0.590599309097669
