UUID	AUTHOR	X	Y	TERMS	COLOR	SCORE
f7467560-bd86-3803-a4ae-39f5e0347d88	von Kriegstein K	1	1	auditory|speech	#D7141E	0.884579695470141
f7467560-bd86-3803-a4ae-39f5e0347d88	von Kriegstein K	2	1		#B10026	0.936830524942343
f7467560-bd86-3803-a4ae-39f5e0347d88	von Kriegstein K	3	1	da|integration	#F03623	0.747271905484559
f7467560-bd86-3803-a4ae-39f5e0347d88	von Kriegstein K	4	1		#F03623	0.760153472436311
f7467560-bd86-3803-a4ae-39f5e0347d88	von Kriegstein K	5	1	physical|psychophysical|tactile	#FECB68	0.379220324945424
f7467560-bd86-3803-a4ae-39f5e0347d88	von Kriegstein K	6	1		#FECB68	0.385930278228612
f7467560-bd86-3803-a4ae-39f5e0347d88	von Kriegstein K	7	1	somatosensory|stimulation	#FECB68	0.304598584713101
f7467560-bd86-3803-a4ae-39f5e0347d88	von Kriegstein K	8	1	painful|pain	#FFF1A9	0.169306734883995
f7467560-bd86-3803-a4ae-39f5e0347d88	von Kriegstein K	9	1		#FEE188	0.203841069293378
f7467560-bd86-3803-a4ae-39f5e0347d88	von Kriegstein K	10	1	ratings	#FFF1A9	0.188565277911455
f7467560-bd86-3803-a4ae-39f5e0347d88	von Kriegstein K	11	1	affective|affect	#FFF1A9	0.145056207847814
f7467560-bd86-3803-a4ae-39f5e0347d88	von Kriegstein K	12	1	emotions	#FEE188	0.238859962931198
f7467560-bd86-3803-a4ae-39f5e0347d88	von Kriegstein K	13	1	expression|expressions|facial	#FEE188	0.266297170098894
f7467560-bd86-3803-a4ae-39f5e0347d88	von Kriegstein K	14	1		#FECB68	0.309505864658187
f7467560-bd86-3803-a4ae-39f5e0347d88	von Kriegstein K	15	1		#FEE188	0.293395452356412
f7467560-bd86-3803-a4ae-39f5e0347d88	von Kriegstein K	16	1	emotion|motion|neutral	#FEE188	0.253944937304818
f7467560-bd86-3803-a4ae-39f5e0347d88	von Kriegstein K	17	1	rating	#FEE188	0.203068520554283
f7467560-bd86-3803-a4ae-39f5e0347d88	von Kriegstein K	18	1	negative|positive	#FFF1A9	0.17161273746761
f7467560-bd86-3803-a4ae-39f5e0347d88	von Kriegstein K	19	1		#FEE188	0.237657896698456
f7467560-bd86-3803-a4ae-39f5e0347d88	von Kriegstein K	20	1	ear|order	#FEE188	0.279498114301182
f7467560-bd86-3803-a4ae-39f5e0347d88	von Kriegstein K	21	1	motor	#FEE188	0.210493977932373
f7467560-bd86-3803-a4ae-39f5e0347d88	von Kriegstein K	22	1	visual	#FEE188	0.25160108721549
f7467560-bd86-3803-a4ae-39f5e0347d88	von Kriegstein K	23	1	age|image|response	#FEE188	0.277011486765281
f7467560-bd86-3803-a4ae-39f5e0347d88	von Kriegstein K	1	2	sound|sounds	#B10026	0.950263326448448
f7467560-bd86-3803-a4ae-39f5e0347d88	von Kriegstein K	2	2		#B10026	0.94992568012797
f7467560-bd86-3803-a4ae-39f5e0347d88	von Kriegstein K	3	2	audiovisual|bimodal|crossmodal	#D7141E	0.852928627669859
f7467560-bd86-3803-a4ae-39f5e0347d88	von Kriegstein K	4	2		#F03623	0.760885888680705
f7467560-bd86-3803-a4ae-39f5e0347d88	von Kriegstein K	5	2		#FC622F	0.608795438594781
f7467560-bd86-3803-a4ae-39f5e0347d88	von Kriegstein K	6	2		#FDAD4A	0.42860341495823
f7467560-bd86-3803-a4ae-39f5e0347d88	von Kriegstein K	7	2	sensation	#FEE188	0.201643676203379
f7467560-bd86-3803-a4ae-39f5e0347d88	von Kriegstein K	8	2	heat|noxious	#FFF1A9	0.165136512890956
f7467560-bd86-3803-a4ae-39f5e0347d88	von Kriegstein K	9	2		#FEE188	0.20508941445451
f7467560-bd86-3803-a4ae-39f5e0347d88	von Kriegstein K	10	2		#FFF1A9	0.198772820069214
f7467560-bd86-3803-a4ae-39f5e0347d88	von Kriegstein K	11	2		#FEE188	0.207525715986638
