UUID	AUTHOR	X	Y	TERMS	COLOR	SCORE
f787640d-a3e6-3c73-a5ba-75fb0530f728	Cox JE	1	1	auditory|speech	#FFF1A9	0.181146442767417
f787640d-a3e6-3c73-a5ba-75fb0530f728	Cox JE	2	1		#FFF1A9	0.1728836997913
f787640d-a3e6-3c73-a5ba-75fb0530f728	Cox JE	3	1	da|integration	#FFF1A9	0.185416722298676
f787640d-a3e6-3c73-a5ba-75fb0530f728	Cox JE	4	1		#FEE188	0.244216772993997
f787640d-a3e6-3c73-a5ba-75fb0530f728	Cox JE	5	1	physical|psychophysical|tactile	#FEE188	0.278354199327491
f787640d-a3e6-3c73-a5ba-75fb0530f728	Cox JE	6	1		#FDAD4A	0.418785373128798
f787640d-a3e6-3c73-a5ba-75fb0530f728	Cox JE	7	1	somatosensory|stimulation	#FDAD4A	0.405740665415798
f787640d-a3e6-3c73-a5ba-75fb0530f728	Cox JE	8	1	painful|pain	#FD913D	0.534256589952767
f787640d-a3e6-3c73-a5ba-75fb0530f728	Cox JE	9	1		#FC622F	0.630315830922755
f787640d-a3e6-3c73-a5ba-75fb0530f728	Cox JE	10	1	ratings	#D7141E	0.834760118115521
f787640d-a3e6-3c73-a5ba-75fb0530f728	Cox JE	11	1	affective|affect	#F03623	0.758690374050502
f787640d-a3e6-3c73-a5ba-75fb0530f728	Cox JE	12	1	emotions	#FC622F	0.667924422417256
f787640d-a3e6-3c73-a5ba-75fb0530f728	Cox JE	13	1	expression|expressions|facial	#FC622F	0.600435202511159
f787640d-a3e6-3c73-a5ba-75fb0530f728	Cox JE	14	1		#FC622F	0.675362883928448
f787640d-a3e6-3c73-a5ba-75fb0530f728	Cox JE	15	1		#FC622F	0.689725216586555
f787640d-a3e6-3c73-a5ba-75fb0530f728	Cox JE	16	1	emotion|motion|neutral	#FC622F	0.684288143301373
f787640d-a3e6-3c73-a5ba-75fb0530f728	Cox JE	17	1	rating	#F03623	0.794773909644099
f787640d-a3e6-3c73-a5ba-75fb0530f728	Cox JE	18	1	negative|positive	#FC622F	0.679438889137245
f787640d-a3e6-3c73-a5ba-75fb0530f728	Cox JE	19	1		#FD913D	0.508656376796161
f787640d-a3e6-3c73-a5ba-75fb0530f728	Cox JE	20	1	ear|order	#FECB68	0.392408226330844
f787640d-a3e6-3c73-a5ba-75fb0530f728	Cox JE	21	1	motor	#FFF1A9	0.173957577935804
f787640d-a3e6-3c73-a5ba-75fb0530f728	Cox JE	22	1	visual	#FFF1A9	0.119464877604637
f787640d-a3e6-3c73-a5ba-75fb0530f728	Cox JE	23	1	age|image|response	#FECB68	0.329163536871001
f787640d-a3e6-3c73-a5ba-75fb0530f728	Cox JE	1	2	sound|sounds	#FFF1A9	0.181979450058136
f787640d-a3e6-3c73-a5ba-75fb0530f728	Cox JE	2	2		#FFF1A9	0.166886105539394
f787640d-a3e6-3c73-a5ba-75fb0530f728	Cox JE	3	2	audiovisual|bimodal|crossmodal	#FFFFCC	0.0711107359903831
f787640d-a3e6-3c73-a5ba-75fb0530f728	Cox JE	4	2		#FEE188	0.229179732953208
f787640d-a3e6-3c73-a5ba-75fb0530f728	Cox JE	5	2		#FEE188	0.288503636798052
f787640d-a3e6-3c73-a5ba-75fb0530f728	Cox JE	6	2		#FECB68	0.396884187496679
f787640d-a3e6-3c73-a5ba-75fb0530f728	Cox JE	7	2	sensation	#FD913D	0.510317826906485
f787640d-a3e6-3c73-a5ba-75fb0530f728	Cox JE	8	2	heat|noxious	#FDAD4A	0.465649667841088
