UUID	AUTHOR	X	Y	TERMS	COLOR	SCORE
f9616714-bd2e-36d7-9612-9d540df1e1a1	Shah NJ	1	1	auditory|speech	#FD913D	0.537095852914442
f9616714-bd2e-36d7-9612-9d540df1e1a1	Shah NJ	2	1		#FD913D	0.567797337567349
f9616714-bd2e-36d7-9612-9d540df1e1a1	Shah NJ	3	1	da|integration	#D7141E	0.832032258768098
f9616714-bd2e-36d7-9612-9d540df1e1a1	Shah NJ	4	1		#D7141E	0.864320703377238
f9616714-bd2e-36d7-9612-9d540df1e1a1	Shah NJ	5	1	physical|psychophysical|tactile	#F03623	0.749554875807043
f9616714-bd2e-36d7-9612-9d540df1e1a1	Shah NJ	6	1		#F03623	0.791119532775744
f9616714-bd2e-36d7-9612-9d540df1e1a1	Shah NJ	7	1	somatosensory|stimulation	#F03623	0.755657571901035
f9616714-bd2e-36d7-9612-9d540df1e1a1	Shah NJ	8	1	painful|pain	#FD913D	0.525803468344282
f9616714-bd2e-36d7-9612-9d540df1e1a1	Shah NJ	9	1		#FD913D	0.569364024127002
f9616714-bd2e-36d7-9612-9d540df1e1a1	Shah NJ	10	1	ratings	#FD913D	0.501764907677467
f9616714-bd2e-36d7-9612-9d540df1e1a1	Shah NJ	11	1	affective|affect	#FECB68	0.385195376762814
f9616714-bd2e-36d7-9612-9d540df1e1a1	Shah NJ	12	1	emotions	#FDAD4A	0.401588368662549
f9616714-bd2e-36d7-9612-9d540df1e1a1	Shah NJ	13	1	expression|expressions|facial	#FEE188	0.297589975033616
f9616714-bd2e-36d7-9612-9d540df1e1a1	Shah NJ	14	1		#FDAD4A	0.460589927692151
f9616714-bd2e-36d7-9612-9d540df1e1a1	Shah NJ	15	1		#FD913D	0.503502570432398
f9616714-bd2e-36d7-9612-9d540df1e1a1	Shah NJ	16	1	emotion|motion|neutral	#FD913D	0.512140514907766
f9616714-bd2e-36d7-9612-9d540df1e1a1	Shah NJ	17	1	rating	#FD913D	0.530117815420358
f9616714-bd2e-36d7-9612-9d540df1e1a1	Shah NJ	18	1	negative|positive	#FD913D	0.549284029671102
f9616714-bd2e-36d7-9612-9d540df1e1a1	Shah NJ	19	1		#F03623	0.727113177441581
f9616714-bd2e-36d7-9612-9d540df1e1a1	Shah NJ	20	1	ear|order	#F03623	0.734045772135185
f9616714-bd2e-36d7-9612-9d540df1e1a1	Shah NJ	21	1	motor	#F03623	0.761488335958191
f9616714-bd2e-36d7-9612-9d540df1e1a1	Shah NJ	22	1	visual	#F03623	0.756791397559124
f9616714-bd2e-36d7-9612-9d540df1e1a1	Shah NJ	23	1	age|image|response	#F03623	0.732354411230295
f9616714-bd2e-36d7-9612-9d540df1e1a1	Shah NJ	1	2	sound|sounds	#FDAD4A	0.448519472286578
f9616714-bd2e-36d7-9612-9d540df1e1a1	Shah NJ	2	2		#FD913D	0.526694369207538
f9616714-bd2e-36d7-9612-9d540df1e1a1	Shah NJ	3	2	audiovisual|bimodal|crossmodal	#FD913D	0.582366448344097
f9616714-bd2e-36d7-9612-9d540df1e1a1	Shah NJ	4	2		#D7141E	0.871320272201052
f9616714-bd2e-36d7-9612-9d540df1e1a1	Shah NJ	5	2		#D7141E	0.884997400159304
f9616714-bd2e-36d7-9612-9d540df1e1a1	Shah NJ	6	2		#D7141E	0.827385515422399
f9616714-bd2e-36d7-9612-9d540df1e1a1	Shah NJ	7	2	sensation	#FD913D	0.506581786283018
f9616714-bd2e-36d7-9612-9d540df1e1a1	Shah NJ	8	2	heat|noxious	#FDAD4A	0.454976920568522
f9616714-bd2e-36d7-9612-9d540df1e1a1	Shah NJ	9	2		#FD913D	0.566062044072416
f9616714-bd2e-36d7-9612-9d540df1e1a1	Shah NJ	10	2		#FD913D	0.521684338137187
f9616714-bd2e-36d7-9612-9d540df1e1a1	Shah NJ	11	2		#FDAD4A	0.494797057538964
f9616714-bd2e-36d7-9612-9d540df1e1a1	Shah NJ	12	2	valence	#FECB68	0.346103123559213
f9616714-bd2e-36d7-9612-9d540df1e1a1	Shah NJ	13	2	person|social	#FDAD4A	0.455225655937895
f9616714-bd2e-36d7-9612-9d540df1e1a1	Shah NJ	14	2		#FDAD4A	0.48064426984456
f9616714-bd2e-36d7-9612-9d540df1e1a1	Shah NJ	15	2	face|faces	#FDAD4A	0.463071289346037
f9616714-bd2e-36d7-9612-9d540df1e1a1	Shah NJ	16	2		#FD913D	0.59234820030682
f9616714-bd2e-36d7-9612-9d540df1e1a1	Shah NJ	17	2		#FC622F	0.63051472950737
