UUID	AUTHOR	X	Y	TERMS	COLOR	SCORE
f9654422-46a2-3616-b370-02a666ffb114	Heim S	1	1	auditory|speech	#FD913D	0.559454101999938
f9654422-46a2-3616-b370-02a666ffb114	Heim S	2	1		#FDAD4A	0.48878340624707
f9654422-46a2-3616-b370-02a666ffb114	Heim S	3	1	da|integration	#FDAD4A	0.476734078444256
f9654422-46a2-3616-b370-02a666ffb114	Heim S	4	1		#FDAD4A	0.429606056299994
f9654422-46a2-3616-b370-02a666ffb114	Heim S	5	1	physical|psychophysical|tactile	#FFF1A9	0.176230173050265
f9654422-46a2-3616-b370-02a666ffb114	Heim S	6	1		#FEE188	0.258047893076289
f9654422-46a2-3616-b370-02a666ffb114	Heim S	7	1	somatosensory|stimulation	#FEE188	0.224864739002641
f9654422-46a2-3616-b370-02a666ffb114	Heim S	8	1	painful|pain	#FFF1A9	0.190103043763006
f9654422-46a2-3616-b370-02a666ffb114	Heim S	9	1		#FEE188	0.237688024159136
f9654422-46a2-3616-b370-02a666ffb114	Heim S	10	1	ratings	#FEE188	0.284039131475335
f9654422-46a2-3616-b370-02a666ffb114	Heim S	11	1	affective|affect	#FECB68	0.304959808200308
f9654422-46a2-3616-b370-02a666ffb114	Heim S	12	1	emotions	#FECB68	0.351265922467931
f9654422-46a2-3616-b370-02a666ffb114	Heim S	13	1	expression|expressions|facial	#FEE188	0.227836798661852
f9654422-46a2-3616-b370-02a666ffb114	Heim S	14	1		#FECB68	0.305279343047891
f9654422-46a2-3616-b370-02a666ffb114	Heim S	15	1		#FECB68	0.316171310874091
f9654422-46a2-3616-b370-02a666ffb114	Heim S	16	1	emotion|motion|neutral	#FEE188	0.293965383155253
f9654422-46a2-3616-b370-02a666ffb114	Heim S	17	1	rating	#FEE188	0.294706517258918
f9654422-46a2-3616-b370-02a666ffb114	Heim S	18	1	negative|positive	#FECB68	0.320884795247934
f9654422-46a2-3616-b370-02a666ffb114	Heim S	19	1		#FDAD4A	0.40006809262197
f9654422-46a2-3616-b370-02a666ffb114	Heim S	20	1	ear|order	#FDAD4A	0.474509921940331
f9654422-46a2-3616-b370-02a666ffb114	Heim S	21	1	motor	#FECB68	0.360196859051646
f9654422-46a2-3616-b370-02a666ffb114	Heim S	22	1	visual	#FECB68	0.389246844469522
