UUID	AUTHOR	X	Y	TERMS	COLOR	SCORE
f98cab5e-5225-37be-96d7-049ed3d78f87	Halgren E	1	1	auditory|speech	#FFF1A9	0.185257247446246
f98cab5e-5225-37be-96d7-049ed3d78f87	Halgren E	2	1		#FEE188	0.203758724035621
f98cab5e-5225-37be-96d7-049ed3d78f87	Halgren E	3	1	da|integration	#FD913D	0.524992491060497
f98cab5e-5225-37be-96d7-049ed3d78f87	Halgren E	4	1		#FDAD4A	0.445226935035218
f98cab5e-5225-37be-96d7-049ed3d78f87	Halgren E	5	1	physical|psychophysical|tactile	#FECB68	0.386041681156972
f98cab5e-5225-37be-96d7-049ed3d78f87	Halgren E	6	1		#FECB68	0.346190803233694
f98cab5e-5225-37be-96d7-049ed3d78f87	Halgren E	7	1	somatosensory|stimulation	#FEE188	0.273158672168098
f98cab5e-5225-37be-96d7-049ed3d78f87	Halgren E	8	1	painful|pain	#FFF1A9	0.198306849551727
f98cab5e-5225-37be-96d7-049ed3d78f87	Halgren E	9	1		#FEE188	0.261942702810722
f98cab5e-5225-37be-96d7-049ed3d78f87	Halgren E	10	1	ratings	#FDAD4A	0.407598383967799
f98cab5e-5225-37be-96d7-049ed3d78f87	Halgren E	11	1	affective|affect	#FDAD4A	0.399858223152993
f98cab5e-5225-37be-96d7-049ed3d78f87	Halgren E	12	1	emotions	#FDAD4A	0.470691787364101
f98cab5e-5225-37be-96d7-049ed3d78f87	Halgren E	13	1	expression|expressions|facial	#FC622F	0.668408454752988
f98cab5e-5225-37be-96d7-049ed3d78f87	Halgren E	14	1		#F03623	0.741902005364689
f98cab5e-5225-37be-96d7-049ed3d78f87	Halgren E	15	1		#FC622F	0.700263017132933
f98cab5e-5225-37be-96d7-049ed3d78f87	Halgren E	16	1	emotion|motion|neutral	#FD913D	0.523148458619907
f98cab5e-5225-37be-96d7-049ed3d78f87	Halgren E	17	1	rating	#FECB68	0.395605472238594
f98cab5e-5225-37be-96d7-049ed3d78f87	Halgren E	18	1	negative|positive	#FECB68	0.331776701832805
f98cab5e-5225-37be-96d7-049ed3d78f87	Halgren E	19	1		#FDAD4A	0.453251811114059
f98cab5e-5225-37be-96d7-049ed3d78f87	Halgren E	20	1	ear|order	#FDAD4A	0.426804434444583
f98cab5e-5225-37be-96d7-049ed3d78f87	Halgren E	21	1	motor	#FECB68	0.30271304295403
f98cab5e-5225-37be-96d7-049ed3d78f87	Halgren E	22	1	visual	#FC622F	0.617322460392337
f98cab5e-5225-37be-96d7-049ed3d78f87	Halgren E	23	1	age|image|response	#FDAD4A	0.453817915798305
f98cab5e-5225-37be-96d7-049ed3d78f87	Halgren E	1	2	sound|sounds	#FFF1A9	0.104675742631867
f98cab5e-5225-37be-96d7-049ed3d78f87	Halgren E	2	2		#FFF1A9	0.171160221391834
f98cab5e-5225-37be-96d7-049ed3d78f87	Halgren E	3	2	audiovisual|bimodal|crossmodal	#FDAD4A	0.421406449911213
f98cab5e-5225-37be-96d7-049ed3d78f87	Halgren E	4	2		#FDAD4A	0.448547916855043
f98cab5e-5225-37be-96d7-049ed3d78f87	Halgren E	5	2		#FDAD4A	0.446645574071271
f98cab5e-5225-37be-96d7-049ed3d78f87	Halgren E	6	2		#FECB68	0.363780848455612
f98cab5e-5225-37be-96d7-049ed3d78f87	Halgren E	7	2	sensation	#FFF1A9	0.155355589569862
f98cab5e-5225-37be-96d7-049ed3d78f87	Halgren E	8	2	heat|noxious	#FFF1A9	0.171457978043069
f98cab5e-5225-37be-96d7-049ed3d78f87	Halgren E	9	2		#FEE188	0.263542675708195
f98cab5e-5225-37be-96d7-049ed3d78f87	Halgren E	10	2		#FECB68	0.39893487972764
f98cab5e-5225-37be-96d7-049ed3d78f87	Halgren E	11	2		#FDAD4A	0.444811187709439
f98cab5e-5225-37be-96d7-049ed3d78f87	Halgren E	12	2	valence	#FDAD4A	0.455569351892767
f98cab5e-5225-37be-96d7-049ed3d78f87	Halgren E	13	2	person|social	#FDAD4A	0.496303433012466
f98cab5e-5225-37be-96d7-049ed3d78f87	Halgren E	14	2		#F03623	0.755529584584329
f98cab5e-5225-37be-96d7-049ed3d78f87	Halgren E	15	2	face|faces	#D7141E	0.899575681408093
f98cab5e-5225-37be-96d7-049ed3d78f87	Halgren E	16	2		#FC622F	0.665057334765041
f98cab5e-5225-37be-96d7-049ed3d78f87	Halgren E	17	2		#FD913D	0.550763208161355
f98cab5e-5225-37be-96d7-049ed3d78f87	Halgren E	18	2		#FD913D	0.50423113575172
f98cab5e-5225-37be-96d7-049ed3d78f87	Halgren E	19	2		#FDAD4A	0.485081973264687
f98cab5e-5225-37be-96d7-049ed3d78f87	Halgren E	20	2		#FDAD4A	0.483892877625251
f98cab5e-5225-37be-96d7-049ed3d78f87	Halgren E	21	2	images|spatial	#FD913D	0.53605451656202
f98cab5e-5225-37be-96d7-049ed3d78f87	Halgren E	22	2	control	#FDAD4A	0.41338013886944
f98cab5e-5225-37be-96d7-049ed3d78f87	Halgren E	23	2	time	#FDAD4A	0.437224095865998
f98cab5e-5225-37be-96d7-049ed3d78f87	Halgren E	1	3	acoustic|listening|musical|music|pitch	#FFFFCC	0
f98cab5e-5225-37be-96d7-049ed3d78f87	Halgren E	2	3	noise|tones	#FFF1A9	0.126238467120223
f98cab5e-5225-37be-96d7-049ed3d78f87	Halgren E	3	3		#FECB68	0.302003281979141
f98cab5e-5225-37be-96d7-049ed3d78f87	Halgren E	4	3		#FDAD4A	0.406725397954303
f98cab5e-5225-37be-96d7-049ed3d78f87	Halgren E	5	3	frequency	#FDAD4A	0.40415145145985
f98cab5e-5225-37be-96d7-049ed3d78f87	Halgren E	6	3		#FECB68	0.398399319370909
f98cab5e-5225-37be-96d7-049ed3d78f87	Halgren E	7	3		#FEE188	0.222077050491565
f98cab5e-5225-37be-96d7-049ed3d78f87	Halgren E	8	3	temperature	#FFF1A9	0.111795236204845
f98cab5e-5225-37be-96d7-049ed3d78f87	Halgren E	9	3		#FEE188	0.251989461013562
f98cab5e-5225-37be-96d7-049ed3d78f87	Halgren E	10	3	pleasant|unpleasant	#FECB68	0.334125685763784
f98cab5e-5225-37be-96d7-049ed3d78f87	Halgren E	11	3	anxiety	#FECB68	0.310584473257773
f98cab5e-5225-37be-96d7-049ed3d78f87	Halgren E	12	3		#FD913D	0.525659689982922
f98cab5e-5225-37be-96d7-049ed3d78f87	Halgren E	13	3		#FC622F	0.6629764491726
f98cab5e-5225-37be-96d7-049ed3d78f87	Halgren E	14	3		#F03623	0.729663959855669
f98cab5e-5225-37be-96d7-049ed3d78f87	Halgren E	15	3		#F03623	0.775722022932851
f98cab5e-5225-37be-96d7-049ed3d78f87	Halgren E	16	3	picture	#D7141E	0.81933075134053
f98cab5e-5225-37be-96d7-049ed3d78f87	Halgren E	17	3		#FC622F	0.674905798931036
