UUID	AUTHOR	X	Y	TERMS	COLOR	SCORE
fa22b08e-7281-3583-99d3-b77f4a740dea	Green GG	1	1	auditory|speech	#FDAD4A	0.472025016418838
fa22b08e-7281-3583-99d3-b77f4a740dea	Green GG	2	1		#FD913D	0.522100728099807
fa22b08e-7281-3583-99d3-b77f4a740dea	Green GG	3	1	da|integration	#FD913D	0.576844388743453
fa22b08e-7281-3583-99d3-b77f4a740dea	Green GG	4	1		#FD913D	0.537798197342404
fa22b08e-7281-3583-99d3-b77f4a740dea	Green GG	5	1	physical|psychophysical|tactile	#FEE188	0.253733467726761
fa22b08e-7281-3583-99d3-b77f4a740dea	Green GG	6	1		#FEE188	0.261482727482621
fa22b08e-7281-3583-99d3-b77f4a740dea	Green GG	7	1	somatosensory|stimulation	#FFF1A9	0.194660227775819
fa22b08e-7281-3583-99d3-b77f4a740dea	Green GG	8	1	painful|pain	#FFFFCC	0.0970012822119155
fa22b08e-7281-3583-99d3-b77f4a740dea	Green GG	9	1		#FFF1A9	0.145821676103328
fa22b08e-7281-3583-99d3-b77f4a740dea	Green GG	10	1	ratings	#FEE188	0.215527164006148
fa22b08e-7281-3583-99d3-b77f4a740dea	Green GG	11	1	affective|affect	#FFF1A9	0.139021672381517
fa22b08e-7281-3583-99d3-b77f4a740dea	Green GG	12	1	emotions	#FECB68	0.365991534356405
fa22b08e-7281-3583-99d3-b77f4a740dea	Green GG	13	1	expression|expressions|facial	#FD913D	0.575421623886959
fa22b08e-7281-3583-99d3-b77f4a740dea	Green GG	14	1		#FD913D	0.576607288088523
fa22b08e-7281-3583-99d3-b77f4a740dea	Green GG	15	1		#FD913D	0.515095027769032
fa22b08e-7281-3583-99d3-b77f4a740dea	Green GG	16	1	emotion|motion|neutral	#FDAD4A	0.431205383529048
fa22b08e-7281-3583-99d3-b77f4a740dea	Green GG	17	1	rating	#FEE188	0.225017743948493
fa22b08e-7281-3583-99d3-b77f4a740dea	Green GG	18	1	negative|positive	#FFF1A9	0.153884018334199
fa22b08e-7281-3583-99d3-b77f4a740dea	Green GG	19	1		#FEE188	0.249087689259855
fa22b08e-7281-3583-99d3-b77f4a740dea	Green GG	20	1	ear|order	#FEE188	0.232676647855914
fa22b08e-7281-3583-99d3-b77f4a740dea	Green GG	21	1	motor	#FFF1A9	0.157641522412934
fa22b08e-7281-3583-99d3-b77f4a740dea	Green GG	22	1	visual	#FDAD4A	0.416388688375439
fa22b08e-7281-3583-99d3-b77f4a740dea	Green GG	23	1	age|image|response	#FEE188	0.286542461077396
fa22b08e-7281-3583-99d3-b77f4a740dea	Green GG	1	2	sound|sounds	#FDAD4A	0.470196875853089
fa22b08e-7281-3583-99d3-b77f4a740dea	Green GG	2	2		#FD913D	0.515816727608896
fa22b08e-7281-3583-99d3-b77f4a740dea	Green GG	3	2	audiovisual|bimodal|crossmodal	#FC622F	0.680241169746371
fa22b08e-7281-3583-99d3-b77f4a740dea	Green GG	4	2		#FD913D	0.548604185115764
fa22b08e-7281-3583-99d3-b77f4a740dea	Green GG	5	2		#FDAD4A	0.430618184453385
fa22b08e-7281-3583-99d3-b77f4a740dea	Green GG	6	2		#FEE188	0.297058092170605
