UUID	AUTHOR	X	Y	TERMS	COLOR	SCORE
fb2c4f65-1b26-31e6-a56d-5e0323a91a57	Leland DS	1	1	auditory|speech	#D7141E	0.834671153718644
fb2c4f65-1b26-31e6-a56d-5e0323a91a57	Leland DS	2	1		#B10026	0.931181805036249
fb2c4f65-1b26-31e6-a56d-5e0323a91a57	Leland DS	3	1	da|integration	#D7141E	0.804031415948336
fb2c4f65-1b26-31e6-a56d-5e0323a91a57	Leland DS	4	1		#D7141E	0.894762079642345
fb2c4f65-1b26-31e6-a56d-5e0323a91a57	Leland DS	5	1	physical|psychophysical|tactile	#FD913D	0.585504395367784
fb2c4f65-1b26-31e6-a56d-5e0323a91a57	Leland DS	6	1		#FD913D	0.590632498089434
fb2c4f65-1b26-31e6-a56d-5e0323a91a57	Leland DS	7	1	somatosensory|stimulation	#FDAD4A	0.455245680269242
fb2c4f65-1b26-31e6-a56d-5e0323a91a57	Leland DS	8	1	painful|pain	#FEE188	0.298268255139669
fb2c4f65-1b26-31e6-a56d-5e0323a91a57	Leland DS	9	1		#FECB68	0.397476492368746
fb2c4f65-1b26-31e6-a56d-5e0323a91a57	Leland DS	10	1	ratings	#FDAD4A	0.460082227878894
fb2c4f65-1b26-31e6-a56d-5e0323a91a57	Leland DS	11	1	affective|affect	#FEE188	0.233183988677846
fb2c4f65-1b26-31e6-a56d-5e0323a91a57	Leland DS	12	1	emotions	#FEE188	0.274400208177539
fb2c4f65-1b26-31e6-a56d-5e0323a91a57	Leland DS	13	1	expression|expressions|facial	#FFF1A9	0.165033732731136
fb2c4f65-1b26-31e6-a56d-5e0323a91a57	Leland DS	14	1		#FECB68	0.306433584332891
fb2c4f65-1b26-31e6-a56d-5e0323a91a57	Leland DS	15	1		#FECB68	0.355422682231934
fb2c4f65-1b26-31e6-a56d-5e0323a91a57	Leland DS	16	1	emotion|motion|neutral	#FDAD4A	0.417889263959162
fb2c4f65-1b26-31e6-a56d-5e0323a91a57	Leland DS	17	1	rating	#FDAD4A	0.451392453676206
fb2c4f65-1b26-31e6-a56d-5e0323a91a57	Leland DS	18	1	negative|positive	#FD913D	0.5182675514845
fb2c4f65-1b26-31e6-a56d-5e0323a91a57	Leland DS	19	1		#FD913D	0.525434153815589
fb2c4f65-1b26-31e6-a56d-5e0323a91a57	Leland DS	20	1	ear|order	#FDAD4A	0.496387405834501
fb2c4f65-1b26-31e6-a56d-5e0323a91a57	Leland DS	21	1	motor	#FECB68	0.358818042467449
fb2c4f65-1b26-31e6-a56d-5e0323a91a57	Leland DS	22	1	visual	#FDAD4A	0.412389256170345
fb2c4f65-1b26-31e6-a56d-5e0323a91a57	Leland DS	23	1	age|image|response	#FDAD4A	0.461350944370184
fb2c4f65-1b26-31e6-a56d-5e0323a91a57	Leland DS	1	2	sound|sounds	#B10026	0.957438406288537
fb2c4f65-1b26-31e6-a56d-5e0323a91a57	Leland DS	2	2		#B10026	0.935875319148341
fb2c4f65-1b26-31e6-a56d-5e0323a91a57	Leland DS	3	2	audiovisual|bimodal|crossmodal	#D7141E	0.893337118674138
fb2c4f65-1b26-31e6-a56d-5e0323a91a57	Leland DS	4	2		#B10026	0.906483199281286
fb2c4f65-1b26-31e6-a56d-5e0323a91a57	Leland DS	5	2		#D7141E	0.821339475850409
fb2c4f65-1b26-31e6-a56d-5e0323a91a57	Leland DS	6	2		#FC622F	0.643999450171181
fb2c4f65-1b26-31e6-a56d-5e0323a91a57	Leland DS	7	2	sensation	#FDAD4A	0.454190348149809
fb2c4f65-1b26-31e6-a56d-5e0323a91a57	Leland DS	8	2	heat|noxious	#FECB68	0.312017542040772
fb2c4f65-1b26-31e6-a56d-5e0323a91a57	Leland DS	9	2		#FDAD4A	0.411617051267906
fb2c4f65-1b26-31e6-a56d-5e0323a91a57	Leland DS	10	2		#FDAD4A	0.405989434880816
fb2c4f65-1b26-31e6-a56d-5e0323a91a57	Leland DS	11	2		#FECB68	0.386676532625389
fb2c4f65-1b26-31e6-a56d-5e0323a91a57	Leland DS	12	2	valence	#FECB68	0.357673054707702
fb2c4f65-1b26-31e6-a56d-5e0323a91a57	Leland DS	13	2	person|social	#FDAD4A	0.454651145397199
fb2c4f65-1b26-31e6-a56d-5e0323a91a57	Leland DS	14	2		#FECB68	0.32602654027876
fb2c4f65-1b26-31e6-a56d-5e0323a91a57	Leland DS	15	2	face|faces	#FEE188	0.219667257746046
fb2c4f65-1b26-31e6-a56d-5e0323a91a57	Leland DS	16	2		#FDAD4A	0.447875043316987
fb2c4f65-1b26-31e6-a56d-5e0323a91a57	Leland DS	17	2		#FDAD4A	0.499622228874639
fb2c4f65-1b26-31e6-a56d-5e0323a91a57	Leland DS	18	2		#FD913D	0.545977336811516
fb2c4f65-1b26-31e6-a56d-5e0323a91a57	Leland DS	19	2		#FD913D	0.544070776800522
fb2c4f65-1b26-31e6-a56d-5e0323a91a57	Leland DS	20	2		#FD913D	0.502366537725748
fb2c4f65-1b26-31e6-a56d-5e0323a91a57	Leland DS	21	2	images|spatial	#FDAD4A	0.481703126198016
fb2c4f65-1b26-31e6-a56d-5e0323a91a57	Leland DS	22	2	control	#FECB68	0.394336101596146
fb2c4f65-1b26-31e6-a56d-5e0323a91a57	Leland DS	23	2	time	#FDAD4A	0.47032065574342
fb2c4f65-1b26-31e6-a56d-5e0323a91a57	Leland DS	1	3	acoustic|listening|musical|music|pitch	#D7141E	0.866585698732719
fb2c4f65-1b26-31e6-a56d-5e0323a91a57	Leland DS	2	3	noise|tones	#D7141E	0.875118096260385
fb2c4f65-1b26-31e6-a56d-5e0323a91a57	Leland DS	3	3		#B10026	0.942482521249885
