UUID	AUTHOR	X	Y	TERMS	COLOR	SCORE
fb9596ec-18c3-332b-bd63-53d09f3feee3	Schroeter ML	1	1	auditory|speech	#FFF1A9	0.18260965068922
fb9596ec-18c3-332b-bd63-53d09f3feee3	Schroeter ML	2	1		#FFF1A9	0.172527829601813
fb9596ec-18c3-332b-bd63-53d09f3feee3	Schroeter ML	3	1	da|integration	#FECB68	0.332722583227682
fb9596ec-18c3-332b-bd63-53d09f3feee3	Schroeter ML	4	1		#FEE188	0.252075045210551
fb9596ec-18c3-332b-bd63-53d09f3feee3	Schroeter ML	5	1	physical|psychophysical|tactile	#FEE188	0.203371453038257
fb9596ec-18c3-332b-bd63-53d09f3feee3	Schroeter ML	6	1		#FEE188	0.283781177650411
fb9596ec-18c3-332b-bd63-53d09f3feee3	Schroeter ML	7	1	somatosensory|stimulation	#FEE188	0.262105401004683
fb9596ec-18c3-332b-bd63-53d09f3feee3	Schroeter ML	8	1	painful|pain	#FECB68	0.337780643383727
fb9596ec-18c3-332b-bd63-53d09f3feee3	Schroeter ML	9	1		#FDAD4A	0.455742524701943
fb9596ec-18c3-332b-bd63-53d09f3feee3	Schroeter ML	10	1	ratings	#D7141E	0.816553922897323
fb9596ec-18c3-332b-bd63-53d09f3feee3	Schroeter ML	11	1	affective|affect	#F03623	0.798731010185646
fb9596ec-18c3-332b-bd63-53d09f3feee3	Schroeter ML	12	1	emotions	#D7141E	0.886549329397286
fb9596ec-18c3-332b-bd63-53d09f3feee3	Schroeter ML	13	1	expression|expressions|facial	#F03623	0.767458388430042
fb9596ec-18c3-332b-bd63-53d09f3feee3	Schroeter ML	14	1		#D7141E	0.851492395856185
fb9596ec-18c3-332b-bd63-53d09f3feee3	Schroeter ML	15	1		#D7141E	0.853095558541904
fb9596ec-18c3-332b-bd63-53d09f3feee3	Schroeter ML	16	1	emotion|motion|neutral	#D7141E	0.851302299879802
fb9596ec-18c3-332b-bd63-53d09f3feee3	Schroeter ML	17	1	rating	#D7141E	0.808085124666673
fb9596ec-18c3-332b-bd63-53d09f3feee3	Schroeter ML	18	1	negative|positive	#F03623	0.762629833498628
fb9596ec-18c3-332b-bd63-53d09f3feee3	Schroeter ML	19	1		#FC622F	0.616257393809114
fb9596ec-18c3-332b-bd63-53d09f3feee3	Schroeter ML	20	1	ear|order	#FDAD4A	0.481887693109799
fb9596ec-18c3-332b-bd63-53d09f3feee3	Schroeter ML	21	1	motor	#FEE188	0.251855929795442
fb9596ec-18c3-332b-bd63-53d09f3feee3	Schroeter ML	22	1	visual	#FECB68	0.330423372469526
fb9596ec-18c3-332b-bd63-53d09f3feee3	Schroeter ML	23	1	age|image|response	#FDAD4A	0.495232631021165
fb9596ec-18c3-332b-bd63-53d09f3feee3	Schroeter ML	1	2	sound|sounds	#FFF1A9	0.121228424659767
fb9596ec-18c3-332b-bd63-53d09f3feee3	Schroeter ML	2	2		#FFF1A9	0.16334919792688
fb9596ec-18c3-332b-bd63-53d09f3feee3	Schroeter ML	3	2	audiovisual|bimodal|crossmodal	#FFF1A9	0.11407433438383
fb9596ec-18c3-332b-bd63-53d09f3feee3	Schroeter ML	4	2		#FEE188	0.263703457176197
fb9596ec-18c3-332b-bd63-53d09f3feee3	Schroeter ML	5	2		#FEE188	0.270130073637167
fb9596ec-18c3-332b-bd63-53d09f3feee3	Schroeter ML	6	2		#FEE188	0.297067542209009
fb9596ec-18c3-332b-bd63-53d09f3feee3	Schroeter ML	7	2	sensation	#FEE188	0.294394648269868
fb9596ec-18c3-332b-bd63-53d09f3feee3	Schroeter ML	8	2	heat|noxious	#FEE188	0.208322724421282
fb9596ec-18c3-332b-bd63-53d09f3feee3	Schroeter ML	9	2		#FDAD4A	0.478275849762444
fb9596ec-18c3-332b-bd63-53d09f3feee3	Schroeter ML	10	2		#D7141E	0.82126167645909
fb9596ec-18c3-332b-bd63-53d09f3feee3	Schroeter ML	11	2		#D7141E	0.897623546753428
fb9596ec-18c3-332b-bd63-53d09f3feee3	Schroeter ML	12	2	valence	#B10026	0.937680847097421
fb9596ec-18c3-332b-bd63-53d09f3feee3	Schroeter ML	13	2	person|social	#B10026	0.923993120071781
fb9596ec-18c3-332b-bd63-53d09f3feee3	Schroeter ML	14	2		#D7141E	0.84656487002517
fb9596ec-18c3-332b-bd63-53d09f3feee3	Schroeter ML	15	2	face|faces	#FC622F	0.661745998435768
fb9596ec-18c3-332b-bd63-53d09f3feee3	Schroeter ML	16	2		#D7141E	0.823828257341778
