UUID	AUTHOR	X	Y	TERMS	COLOR	SCORE
fbfa1d2a-fe5b-3ebc-879e-6c67b63f569a	van de Warrenburg BP	1	1	auditory|speech	#FEE188	0.281100189453395
fbfa1d2a-fe5b-3ebc-879e-6c67b63f569a	van de Warrenburg BP	2	1		#FEE188	0.2233669050643
fbfa1d2a-fe5b-3ebc-879e-6c67b63f569a	van de Warrenburg BP	3	1	da|integration	#FDAD4A	0.470177322984371
fbfa1d2a-fe5b-3ebc-879e-6c67b63f569a	van de Warrenburg BP	4	1		#FDAD4A	0.444802128901079
fbfa1d2a-fe5b-3ebc-879e-6c67b63f569a	van de Warrenburg BP	5	1	physical|psychophysical|tactile	#FEE188	0.273242842915214
fbfa1d2a-fe5b-3ebc-879e-6c67b63f569a	van de Warrenburg BP	6	1		#FDAD4A	0.49845545144514
fbfa1d2a-fe5b-3ebc-879e-6c67b63f569a	van de Warrenburg BP	7	1	somatosensory|stimulation	#FD913D	0.585787722075448
fbfa1d2a-fe5b-3ebc-879e-6c67b63f569a	van de Warrenburg BP	8	1	painful|pain	#FECB68	0.386714497898974
fbfa1d2a-fe5b-3ebc-879e-6c67b63f569a	van de Warrenburg BP	9	1		#FDAD4A	0.489652883265092
fbfa1d2a-fe5b-3ebc-879e-6c67b63f569a	van de Warrenburg BP	10	1	ratings	#F03623	0.713931730311128
fbfa1d2a-fe5b-3ebc-879e-6c67b63f569a	van de Warrenburg BP	11	1	affective|affect	#FC622F	0.637810684794641
fbfa1d2a-fe5b-3ebc-879e-6c67b63f569a	van de Warrenburg BP	12	1	emotions	#FD913D	0.500342757961812
fbfa1d2a-fe5b-3ebc-879e-6c67b63f569a	van de Warrenburg BP	13	1	expression|expressions|facial	#FDAD4A	0.426323325418166
fbfa1d2a-fe5b-3ebc-879e-6c67b63f569a	van de Warrenburg BP	14	1		#FC622F	0.660934019538595
fbfa1d2a-fe5b-3ebc-879e-6c67b63f569a	van de Warrenburg BP	15	1		#FC622F	0.685933108116087
fbfa1d2a-fe5b-3ebc-879e-6c67b63f569a	van de Warrenburg BP	16	1	emotion|motion|neutral	#FC622F	0.692510885660862
fbfa1d2a-fe5b-3ebc-879e-6c67b63f569a	van de Warrenburg BP	17	1	rating	#FC622F	0.670344491748468
fbfa1d2a-fe5b-3ebc-879e-6c67b63f569a	van de Warrenburg BP	18	1	negative|positive	#F03623	0.748151749396762
fbfa1d2a-fe5b-3ebc-879e-6c67b63f569a	van de Warrenburg BP	19	1		#FC622F	0.698575076612388
fbfa1d2a-fe5b-3ebc-879e-6c67b63f569a	van de Warrenburg BP	20	1	ear|order	#FD913D	0.513101705733533
fbfa1d2a-fe5b-3ebc-879e-6c67b63f569a	van de Warrenburg BP	21	1	motor	#FD913D	0.578747504148598
fbfa1d2a-fe5b-3ebc-879e-6c67b63f569a	van de Warrenburg BP	22	1	visual	#FECB68	0.395202067523065
fbfa1d2a-fe5b-3ebc-879e-6c67b63f569a	van de Warrenburg BP	23	1	age|image|response	#FDAD4A	0.471908183862919
fbfa1d2a-fe5b-3ebc-879e-6c67b63f569a	van de Warrenburg BP	1	2	sound|sounds	#FFFFCC	0.0752557261329738
fbfa1d2a-fe5b-3ebc-879e-6c67b63f569a	van de Warrenburg BP	2	2		#FEE188	0.200656240042104
fbfa1d2a-fe5b-3ebc-879e-6c67b63f569a	van de Warrenburg BP	3	2	audiovisual|bimodal|crossmodal	#FEE188	0.235231417205917
fbfa1d2a-fe5b-3ebc-879e-6c67b63f569a	van de Warrenburg BP	4	2		#FDAD4A	0.481700226798659
fbfa1d2a-fe5b-3ebc-879e-6c67b63f569a	van de Warrenburg BP	5	2		#FD913D	0.548399667376566
fbfa1d2a-fe5b-3ebc-879e-6c67b63f569a	van de Warrenburg BP	6	2		#FD913D	0.544211256360849
fbfa1d2a-fe5b-3ebc-879e-6c67b63f569a	van de Warrenburg BP	7	2	sensation	#FEE188	0.284640182627144
fbfa1d2a-fe5b-3ebc-879e-6c67b63f569a	van de Warrenburg BP	8	2	heat|noxious	#FECB68	0.345424861524147
fbfa1d2a-fe5b-3ebc-879e-6c67b63f569a	van de Warrenburg BP	9	2		#FDAD4A	0.496268930492283
fbfa1d2a-fe5b-3ebc-879e-6c67b63f569a	van de Warrenburg BP	10	2		#FC622F	0.649773497779128
fbfa1d2a-fe5b-3ebc-879e-6c67b63f569a	van de Warrenburg BP	11	2		#FC622F	0.683081432556989
fbfa1d2a-fe5b-3ebc-879e-6c67b63f569a	van de Warrenburg BP	12	2	valence	#FC622F	0.694690218713314
fbfa1d2a-fe5b-3ebc-879e-6c67b63f569a	van de Warrenburg BP	13	2	person|social	#B10026	0.911090039534845
fbfa1d2a-fe5b-3ebc-879e-6c67b63f569a	van de Warrenburg BP	14	2		#FC622F	0.673226952568158
fbfa1d2a-fe5b-3ebc-879e-6c67b63f569a	van de Warrenburg BP	15	2	face|faces	#FDAD4A	0.453552450864856
fbfa1d2a-fe5b-3ebc-879e-6c67b63f569a	van de Warrenburg BP	16	2		#F03623	0.72808524681442
fbfa1d2a-fe5b-3ebc-879e-6c67b63f569a	van de Warrenburg BP	17	2		#F03623	0.76911483793936
fbfa1d2a-fe5b-3ebc-879e-6c67b63f569a	van de Warrenburg BP	18	2		#F03623	0.742648340627309
fbfa1d2a-fe5b-3ebc-879e-6c67b63f569a	van de Warrenburg BP	19	2		#FC622F	0.695402698480963
fbfa1d2a-fe5b-3ebc-879e-6c67b63f569a	van de Warrenburg BP	20	2		#FC622F	0.614587084452535
fbfa1d2a-fe5b-3ebc-879e-6c67b63f569a	van de Warrenburg BP	21	2	images|spatial	#FD913D	0.53966390841744
fbfa1d2a-fe5b-3ebc-879e-6c67b63f569a	van de Warrenburg BP	22	2	control	#FDAD4A	0.489368262524251
fbfa1d2a-fe5b-3ebc-879e-6c67b63f569a	van de Warrenburg BP	23	2	time	#FD913D	0.518284896242466
fbfa1d2a-fe5b-3ebc-879e-6c67b63f569a	van de Warrenburg BP	1	3	acoustic|listening|musical|music|pitch	#FFFFCC	0.0986007082002372
fbfa1d2a-fe5b-3ebc-879e-6c67b63f569a	van de Warrenburg BP	2	3	noise|tones	#FFF1A9	0.113833390018984
fbfa1d2a-fe5b-3ebc-879e-6c67b63f569a	van de Warrenburg BP	3	3		#FDAD4A	0.450895925760017
fbfa1d2a-fe5b-3ebc-879e-6c67b63f569a	van de Warrenburg BP	4	3		#FC622F	0.635340094748526
fbfa1d2a-fe5b-3ebc-879e-6c67b63f569a	van de Warrenburg BP	5	3	frequency	#F03623	0.708936264634718
fbfa1d2a-fe5b-3ebc-879e-6c67b63f569a	van de Warrenburg BP	6	3		#F03623	0.764961055811569
fbfa1d2a-fe5b-3ebc-879e-6c67b63f569a	van de Warrenburg BP	7	3		#FDAD4A	0.470282377185621
fbfa1d2a-fe5b-3ebc-879e-6c67b63f569a	van de Warrenburg BP	8	3	temperature	#FEE188	0.272501260648923
fbfa1d2a-fe5b-3ebc-879e-6c67b63f569a	van de Warrenburg BP	9	3		#FDAD4A	0.448885839802823
fbfa1d2a-fe5b-3ebc-879e-6c67b63f569a	van de Warrenburg BP	10	3	pleasant|unpleasant	#FECB68	0.374198208922333
fbfa1d2a-fe5b-3ebc-879e-6c67b63f569a	van de Warrenburg BP	11	3	anxiety	#FD913D	0.560883777037553
fbfa1d2a-fe5b-3ebc-879e-6c67b63f569a	van de Warrenburg BP	12	3		#F03623	0.738613374366843
fbfa1d2a-fe5b-3ebc-879e-6c67b63f569a	van de Warrenburg BP	13	3		#F03623	0.758949910263615
fbfa1d2a-fe5b-3ebc-879e-6c67b63f569a	van de Warrenburg BP	14	3		#F03623	0.74956729681974
fbfa1d2a-fe5b-3ebc-879e-6c67b63f569a	van de Warrenburg BP	15	3		#F03623	0.740609363803965
fbfa1d2a-fe5b-3ebc-879e-6c67b63f569a	van de Warrenburg BP	16	3	picture	#F03623	0.745819341333481
fbfa1d2a-fe5b-3ebc-879e-6c67b63f569a	van de Warrenburg BP	17	3		#F03623	0.76260964717135
fbfa1d2a-fe5b-3ebc-879e-6c67b63f569a	van de Warrenburg BP	18	3	value	#FC622F	0.683884619383007
fbfa1d2a-fe5b-3ebc-879e-6c67b63f569a	van de Warrenburg BP	19	3	cue	#FD913D	0.585801686833449
fbfa1d2a-fe5b-3ebc-879e-6c67b63f569a	van de Warrenburg BP	20	3	error|target	#FD913D	0.594185794110149
fbfa1d2a-fe5b-3ebc-879e-6c67b63f569a	van de Warrenburg BP	21	3	attention	#FDAD4A	0.490911906345878
fbfa1d2a-fe5b-3ebc-879e-6c67b63f569a	van de Warrenburg BP	22	3		#FDAD4A	0.478956706993546
fbfa1d2a-fe5b-3ebc-879e-6c67b63f569a	van de Warrenburg BP	23	3	number	#FDAD4A	0.490073457504398
fbfa1d2a-fe5b-3ebc-879e-6c67b63f569a	van de Warrenburg BP	1	4	voice	#FFFFCC	0
fbfa1d2a-fe5b-3ebc-879e-6c67b63f569a	van de Warrenburg BP	2	4		#FEE188	0.223848222930373
fbfa1d2a-fe5b-3ebc-879e-6c67b63f569a	van de Warrenburg BP	3	4	hearing	#FDAD4A	0.438096362914168
fbfa1d2a-fe5b-3ebc-879e-6c67b63f569a	van de Warrenburg BP	4	4		#FC622F	0.691810869650631
fbfa1d2a-fe5b-3ebc-879e-6c67b63f569a	van de Warrenburg BP	5	4	overt	#F03623	0.719171818091259
fbfa1d2a-fe5b-3ebc-879e-6c67b63f569a	van de Warrenburg BP	6	4		#D7141E	0.869495160185208
fbfa1d2a-fe5b-3ebc-879e-6c67b63f569a	van de Warrenburg BP	7	4		#FC622F	0.660394700251484
fbfa1d2a-fe5b-3ebc-879e-6c67b63f569a	van de Warrenburg BP	8	4	nociceptive|nonpainful|painrelated	#FECB68	0.37328386572791
fbfa1d2a-fe5b-3ebc-879e-6c67b63f569a	van de Warrenburg BP	9	4	unpleasantness	#FDAD4A	0.443467686354053
fbfa1d2a-fe5b-3ebc-879e-6c67b63f569a	van de Warrenburg BP	10	4	skin|subjective	#FD913D	0.560306527747999
fbfa1d2a-fe5b-3ebc-879e-6c67b63f569a	van de Warrenburg BP	11	4	depression	#F03623	0.713182508465215
