UUID	AUTHOR	X	Y	TERMS	COLOR	SCORE
fdd99641-0cb7-3c96-aeb5-d5c3754850d9	Turken U	1	1	auditory|speech	#FDAD4A	0.454130382845356
fdd99641-0cb7-3c96-aeb5-d5c3754850d9	Turken U	2	1		#FDAD4A	0.424571784288057
fdd99641-0cb7-3c96-aeb5-d5c3754850d9	Turken U	3	1	da|integration	#FC622F	0.618809791040256
fdd99641-0cb7-3c96-aeb5-d5c3754850d9	Turken U	4	1		#FD913D	0.575301907974504
fdd99641-0cb7-3c96-aeb5-d5c3754850d9	Turken U	5	1	physical|psychophysical|tactile	#FDAD4A	0.414475364555552
fdd99641-0cb7-3c96-aeb5-d5c3754850d9	Turken U	6	1		#FDAD4A	0.462960317947983
fdd99641-0cb7-3c96-aeb5-d5c3754850d9	Turken U	7	1	somatosensory|stimulation	#FDAD4A	0.401416231802127
fdd99641-0cb7-3c96-aeb5-d5c3754850d9	Turken U	8	1	painful|pain	#FECB68	0.309318155078455
fdd99641-0cb7-3c96-aeb5-d5c3754850d9	Turken U	9	1		#FECB68	0.362483818913968
fdd99641-0cb7-3c96-aeb5-d5c3754850d9	Turken U	10	1	ratings	#FECB68	0.372158750185469
fdd99641-0cb7-3c96-aeb5-d5c3754850d9	Turken U	11	1	affective|affect	#FECB68	0.321599519173582
fdd99641-0cb7-3c96-aeb5-d5c3754850d9	Turken U	12	1	emotions	#FEE188	0.246242317911273
fdd99641-0cb7-3c96-aeb5-d5c3754850d9	Turken U	13	1	expression|expressions|facial	#FEE188	0.208536621704027
fdd99641-0cb7-3c96-aeb5-d5c3754850d9	Turken U	14	1		#FECB68	0.352410808827704
fdd99641-0cb7-3c96-aeb5-d5c3754850d9	Turken U	15	1		#FECB68	0.390830326157154
fdd99641-0cb7-3c96-aeb5-d5c3754850d9	Turken U	16	1	emotion|motion|neutral	#FECB68	0.368458740826438
fdd99641-0cb7-3c96-aeb5-d5c3754850d9	Turken U	17	1	rating	#FDAD4A	0.424137940589783
fdd99641-0cb7-3c96-aeb5-d5c3754850d9	Turken U	18	1	negative|positive	#FD913D	0.515373983203575
fdd99641-0cb7-3c96-aeb5-d5c3754850d9	Turken U	19	1		#FC622F	0.66871707015442
fdd99641-0cb7-3c96-aeb5-d5c3754850d9	Turken U	20	1	ear|order	#FC622F	0.700002192047479
fdd99641-0cb7-3c96-aeb5-d5c3754850d9	Turken U	21	1	motor	#FC622F	0.626474501584596
fdd99641-0cb7-3c96-aeb5-d5c3754850d9	Turken U	22	1	visual	#FC622F	0.653537380972478
fdd99641-0cb7-3c96-aeb5-d5c3754850d9	Turken U	23	1	age|image|response	#FC622F	0.677427913718862
fdd99641-0cb7-3c96-aeb5-d5c3754850d9	Turken U	1	2	sound|sounds	#FEE188	0.299273465728654
fdd99641-0cb7-3c96-aeb5-d5c3754850d9	Turken U	2	2		#FECB68	0.382689023989788
fdd99641-0cb7-3c96-aeb5-d5c3754850d9	Turken U	3	2	audiovisual|bimodal|crossmodal	#FDAD4A	0.411353276485801
fdd99641-0cb7-3c96-aeb5-d5c3754850d9	Turken U	4	2		#FD913D	0.59263828775776
fdd99641-0cb7-3c96-aeb5-d5c3754850d9	Turken U	5	2		#FD913D	0.567626976232132
fdd99641-0cb7-3c96-aeb5-d5c3754850d9	Turken U	6	2		#FD913D	0.502636000088621
fdd99641-0cb7-3c96-aeb5-d5c3754850d9	Turken U	7	2	sensation	#FECB68	0.331532589319508
fdd99641-0cb7-3c96-aeb5-d5c3754850d9	Turken U	8	2	heat|noxious	#FEE188	0.277890060235983
fdd99641-0cb7-3c96-aeb5-d5c3754850d9	Turken U	9	2		#FECB68	0.376575534101067
fdd99641-0cb7-3c96-aeb5-d5c3754850d9	Turken U	10	2		#FECB68	0.387831706673792
fdd99641-0cb7-3c96-aeb5-d5c3754850d9	Turken U	11	2		#FECB68	0.372903274325704
fdd99641-0cb7-3c96-aeb5-d5c3754850d9	Turken U	12	2	valence	#FEE188	0.26526649812166
fdd99641-0cb7-3c96-aeb5-d5c3754850d9	Turken U	13	2	person|social	#FECB68	0.301833335988964
fdd99641-0cb7-3c96-aeb5-d5c3754850d9	Turken U	14	2		#FECB68	0.372911125659521
