UUID	AUTHOR	X	Y	TERMS	COLOR	SCORE
fddb4cbc-ef82-3334-8290-e822e877bd57	Mowry BJ	1	1	auditory|speech	#FECB68	0.338940622086255
fddb4cbc-ef82-3334-8290-e822e877bd57	Mowry BJ	2	1		#FEE188	0.278416114050951
fddb4cbc-ef82-3334-8290-e822e877bd57	Mowry BJ	3	1	da|integration	#FEE188	0.273537502592896
fddb4cbc-ef82-3334-8290-e822e877bd57	Mowry BJ	4	1		#FECB68	0.302791111151109
fddb4cbc-ef82-3334-8290-e822e877bd57	Mowry BJ	5	1	physical|psychophysical|tactile	#FEE188	0.282387769798642
fddb4cbc-ef82-3334-8290-e822e877bd57	Mowry BJ	6	1		#FDAD4A	0.466520163471215
fddb4cbc-ef82-3334-8290-e822e877bd57	Mowry BJ	7	1	somatosensory|stimulation	#FD913D	0.523211227054353
fddb4cbc-ef82-3334-8290-e822e877bd57	Mowry BJ	8	1	painful|pain	#FD913D	0.582006343784641
fddb4cbc-ef82-3334-8290-e822e877bd57	Mowry BJ	9	1		#FC622F	0.668025841798025
fddb4cbc-ef82-3334-8290-e822e877bd57	Mowry BJ	10	1	ratings	#F03623	0.777600264958223
fddb4cbc-ef82-3334-8290-e822e877bd57	Mowry BJ	11	1	affective|affect	#D7141E	0.823779100897601
fddb4cbc-ef82-3334-8290-e822e877bd57	Mowry BJ	12	1	emotions	#F03623	0.741698949682884
fddb4cbc-ef82-3334-8290-e822e877bd57	Mowry BJ	13	1	expression|expressions|facial	#FDAD4A	0.49100265904562
fddb4cbc-ef82-3334-8290-e822e877bd57	Mowry BJ	14	1		#FC622F	0.654040790734792
fddb4cbc-ef82-3334-8290-e822e877bd57	Mowry BJ	15	1		#F03623	0.711874747940172
fddb4cbc-ef82-3334-8290-e822e877bd57	Mowry BJ	16	1	emotion|motion|neutral	#F03623	0.777243919947744
fddb4cbc-ef82-3334-8290-e822e877bd57	Mowry BJ	17	1	rating	#F03623	0.706827810696266
fddb4cbc-ef82-3334-8290-e822e877bd57	Mowry BJ	18	1	negative|positive	#F03623	0.715522316755113
fddb4cbc-ef82-3334-8290-e822e877bd57	Mowry BJ	19	1		#FDAD4A	0.462248552470059
fddb4cbc-ef82-3334-8290-e822e877bd57	Mowry BJ	20	1	ear|order	#FEE188	0.274052210156252
fddb4cbc-ef82-3334-8290-e822e877bd57	Mowry BJ	21	1	motor	#FFF1A9	0.148596460335487
fddb4cbc-ef82-3334-8290-e822e877bd57	Mowry BJ	22	1	visual	#FFFFCC	0.0185797902772112
fddb4cbc-ef82-3334-8290-e822e877bd57	Mowry BJ	23	1	age|image|response	#FEE188	0.231608023794888
fddb4cbc-ef82-3334-8290-e822e877bd57	Mowry BJ	1	2	sound|sounds	#FEE188	0.235373188760882
fddb4cbc-ef82-3334-8290-e822e877bd57	Mowry BJ	2	2		#FEE188	0.283951927927171
fddb4cbc-ef82-3334-8290-e822e877bd57	Mowry BJ	3	2	audiovisual|bimodal|crossmodal	#FFFFCC	0.0906824191155867
fddb4cbc-ef82-3334-8290-e822e877bd57	Mowry BJ	4	2		#FECB68	0.320233304619174
fddb4cbc-ef82-3334-8290-e822e877bd57	Mowry BJ	5	2		#FECB68	0.384020644046957
fddb4cbc-ef82-3334-8290-e822e877bd57	Mowry BJ	6	2		#FDAD4A	0.474172013275447
fddb4cbc-ef82-3334-8290-e822e877bd57	Mowry BJ	7	2	sensation	#FC622F	0.647213868107565
fddb4cbc-ef82-3334-8290-e822e877bd57	Mowry BJ	8	2	heat|noxious	#FD913D	0.530319083810101
fddb4cbc-ef82-3334-8290-e822e877bd57	Mowry BJ	9	2		#FC622F	0.645302391470345
fddb4cbc-ef82-3334-8290-e822e877bd57	Mowry BJ	10	2		#D7141E	0.801664156120098
fddb4cbc-ef82-3334-8290-e822e877bd57	Mowry BJ	11	2		#D7141E	0.813625189410081
fddb4cbc-ef82-3334-8290-e822e877bd57	Mowry BJ	12	2	valence	#F03623	0.790323779720153
fddb4cbc-ef82-3334-8290-e822e877bd57	Mowry BJ	13	2	person|social	#F03623	0.748403717128212
fddb4cbc-ef82-3334-8290-e822e877bd57	Mowry BJ	14	2		#FC622F	0.665828337509482
fddb4cbc-ef82-3334-8290-e822e877bd57	Mowry BJ	15	2	face|faces	#FDAD4A	0.432955608117465
fddb4cbc-ef82-3334-8290-e822e877bd57	Mowry BJ	16	2		#F03623	0.701151843177559
fddb4cbc-ef82-3334-8290-e822e877bd57	Mowry BJ	17	2		#F03623	0.726800442469405
fddb4cbc-ef82-3334-8290-e822e877bd57	Mowry BJ	18	2		#FD913D	0.580574931950504
fddb4cbc-ef82-3334-8290-e822e877bd57	Mowry BJ	19	2		#FDAD4A	0.42483423939059
fddb4cbc-ef82-3334-8290-e822e877bd57	Mowry BJ	20	2		#FEE188	0.227917836826487
fddb4cbc-ef82-3334-8290-e822e877bd57	Mowry BJ	21	2	images|spatial	#FFF1A9	0.186598748404072
